contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
AAPL260605C00185000,2026-05-29 20:00:00+00:00,185.0,10.600000000000001,10.14,10.66,-0.063077,-0.591546,398.0,667.0,0.2662887729729872,True,REGULAR,USD,10.4,0.05,AAPL,2026-06-05,CALL
AAPL260605C00187500,2026-05-29 20:00:00+00:00,187.5,8.3,7.95,8.35,-0.1275,-1.512904,391.0,254.0,0.26521493134641594,True,REGULAR,USD,8.15,0.04908,AAPL,2026-06-05,CALL
AAPL260605C00190000,2026-05-29 20:00:00+00:00,190.0,6.0,5.95,6.25,-0.35724,-5.61942,1300.0,1447.0,0.2641553132064143,True,REGULAR,USD,6.1,0.04918,AAPL,2026-06-05,CALL
AAPL260605C00192500,2026-05-29 20:00:00+00:00,192.5,4.4,4.24,4.46,0.178132,4.21927,37.0,928.0,0.2631095466810261,True,REGULAR,USD,4.35,0.050575,AAPL,2026-06-05,CALL
AAPL260605C00195000,2026-05-29 20:00:00+00:00,195.0,2.85,2.83,2.97,-0.0777,-2.65396,35.0,983.0,0.26207727429415345,False,REGULAR,USD,2.9,0.048276,AAPL,2026-06-05,CALL
AAPL260605C00197500,2026-05-29 20:00:00+00:00,197.5,1.8,1.75,1.85,-0.076725,-4.088239,11.0,3964.0,0.26105815223195905,False,REGULAR,USD,1.8,0.055556,AAPL,2026-06-05,CALL
AAPL260605C00200000,2026-05-29 20:00:00+00:00,200.0,1.05,1.0,1.1,-0.017126,-1.604871,145.0,3226.0,0.2600518496554103,False,REGULAR,USD,1.05,0.095238,AAPL,2026-06-05,CALL
AAPL260605C00202500,2026-05-29 20:00:00+00:00,202.5,0.55,0.5,0.6,0.021723,4.112047,176.0,491.0,0.2590580480555257,False,REGULAR,USD,0.55,0.181818,AAPL,2026-06-05,CALL
AAPL260605C00205000,2026-05-29 20:00:00+00:00,205.0,0.28,0.27,0.29,-0.004823,-1.693332,1748.0,21541.0,0.2580764406481805,False,REGULAR,USD,0.28,0.071429,AAPL,2026-06-05,CALL
AAPL260605C00207500,2026-05-29 20:00:00+00:00,207.5,0.12,0.11,0.13,-0.004883,-3.91006,491.0,613.0,0.25710673180559296,False,REGULAR,USD,0.12,0.166667,AAPL,2026-06-05,CALL
AAPL260605C00210000,2026-05-29 20:00:00+00:00,210.0,0.05,0.04,0.06,-0.001087,-2.127743,412.0,11181.0,0.2561486365218557,False,REGULAR,USD,0.05,0.4,AAPL,2026-06-05,CALL
AAPL260605C00212500,2026-05-29 20:00:00+00:00,212.5,0.02,0.01,0.03,-0.000339,-1.666749,16.0,1885.0,0.25520187991009546,False,REGULAR,USD,0.02,1.0,AAPL,2026-06-05,CALL
AAPL260612C00185000,2026-05-29 20:00:00+00:00,185.0,10.9,10.82,11.38,-0.535039,-4.678943,97.0,8514.0,0.26714920815839455,True,REGULAR,USD,11.1,0.05045,AAPL,2026-06-12,CALL
AAPL260612C00187500,2026-05-29 20:00:00+00:00,187.5,8.950000000000001,8.82,9.28,0.341734,3.969836,137.0,2383.0,0.2660753665318233,True,REGULAR,USD,9.05,0.050829,AAPL,2026-06-12,CALL
AAPL260612C00190000,2026-05-29 20:00:00+00:00,190.0,7.2,7.02,7.38,0.272665,3.936074,21.0,361.0,0.2650157483918216,True,REGULAR,USD,7.2,0.05,AAPL,2026-06-12,CALL
AAPL260612C00192500,2026-05-29 20:00:00+00:00,192.5,5.5,5.41,5.69,0.198479,3.743812,147.0,5549.0,0.26396998186643345,True,REGULAR,USD,5.55,0.05045,AAPL,2026-06-12,CALL
AAPL260612C00195000,2026-05-29 20:00:00+00:00,195.0,4.2,4.05,4.25,-0.006227,-0.148042,16.0,3159.0,0.2629377094795608,False,REGULAR,USD,4.15,0.048193,AAPL,2026-06-12,CALL
AAPL260612C00197500,2026-05-29 20:00:00+00:00,197.5,3.0500000000000003,2.92,3.08,-0.147994,-4.627713,4871.0,237.0,0.2619185874173664,False,REGULAR,USD,3.0,0.053333,AAPL,2026-06-12,CALL
AAPL260612C00200000,2026-05-29 20:00:00+00:00,200.0,2.1,2.05,2.15,-0.116787,-5.2683,28.0,1595.0,0.26091228484081763,False,REGULAR,USD,2.1,0.047619,AAPL,2026-06-12,CALL
AAPL260612C00202500,2026-05-29 20:00:00+00:00,202.5,1.4500000000000002,1.4,1.5,-0.075184,-4.929504,93.0,864.0,0.25991848324093303,False,REGULAR,USD,1.45,0.068966,AAPL,2026-06-12,CALL
AAPL260612C00205000,2026-05-29 20:00:00+00:00,205.0,0.9,0.85,0.95,0.011285,1.269811,202.0,6004.0,0.2589368758335879,False,REGULAR,USD,0.9,0.111111,AAPL,2026-06-12,CALL
AAPL260612C00207500,2026-05-29 20:00:00+00:00,207.5,0.55,0.5,0.6,0.012331,2.293418,92.0,2600.0,0.2579671669910003,False,REGULAR,USD,0.55,0.181818,AAPL,2026-06-12,CALL
AAPL260612C00210000,2026-05-29 20:00:00+00:00,210.0,0.34,0.33,0.35,-0.013793,-3.898607,1834.0,1382.0,0.25700907170726306,False,REGULAR,USD,0.34,0.058824,AAPL,2026-06-12,CALL
AAPL260612C00212500,2026-05-29 20:00:00+00:00,212.5,0.2,0.19,0.21,0.008694,4.544552,333.0,14209.0,0.2560623150955028,False,REGULAR,USD,0.2,0.1,AAPL,2026-06-12,CALL
AAPL260612C00215000,2026-05-29 20:00:00+00:00,215.0,0.11,0.1,0.12,0.00529,5.052049,1494.0,888.0,0.2551266319144475,False,REGULAR,USD,0.11,0.181818,AAPL,2026-06-12,CALL
AAPL260612C00217500,2026-05-29 20:00:00+00:00,217.5,0.06,0.05,0.07,-0.003491,-5.498417,686.0,2794.0,0.25420176612236145,False,REGULAR,USD,0.06,0.333333,AAPL,2026-06-12,CALL
AAPL260619C00175000,2026-05-29 20:00:00+00:00,175.0,20.85,20.13,21.17,0.694024,3.443267,30.0,554.0,0.27225503138994916,True,REGULAR,USD,20.65,0.050363,AAPL,2026-06-19,CALL
AAPL260619C00177500,2026-05-29 20:00:00+00:00,177.5,18.0,17.84,18.76,-0.402128,-2.185226,547.0,1252.0,0.27112026059059263,True,REGULAR,USD,18.3,0.050273,AAPL,2026-06-19,CALL
AAPL260619C00180000,2026-05-29 20:00:00+00:00,180.0,15.8,15.65,16.45,-0.282838,-1.758632,191.0,58.0,0.2700013612326134,True,REGULAR,USD,16.05,0.049844,AAPL,2026-06-19,CALL
AAPL260619C00182500,2026-05-29 20:00:00+00:00,182.5,13.75,13.5,14.2,0.734295,5.641608,170.0,2278.0,0.2688978954620266,True,REGULAR,USD,13.85,0.050542,AAPL,2026-06-19,CALL
AAPL260619C00185000,2026-05-29 20:00:00+00:00,185.0,11.8,11.51,12.1,-0.494567,-4.022647,332.0,1989.0,0.2678094432975643,True,REGULAR,USD,11.805,0.049979,AAPL,2026-06-19,CALL
AAPL260619C00187500,2026-05-29 20:00:00+00:00,187.5,9.9,9.6,10.1,0.32235,3.365648,813.0,827.0,0.26673560167099303,True,REGULAR,USD,9.85,0.050761,AAPL,2026-06-19,CALL
AAPL260619C00190000,2026-05-29 20:00:00+00:00,190.0,8.05,7.9,8.3,0.237989,3.04645,554.0,5815.0,0.26567598353099137,True,REGULAR,USD,8.1,0.049383,AAPL,2026-06-19,CALL
AAPL260619C00192500,2026-05-29 20:00:00+00:00,192.5,6.65,6.39,6.71,0.246908,3.856075,776.0,21212.0,0.2646302170056032,True,REGULAR,USD,6.55,0.048855,AAPL,2026-06-19,CALL
AAPL260619C00195000,2026-05-29 20:00:00+00:00,195.0,5.050000000000001,5.02,5.28,0.253424,5.283436,83.0,1836.0,0.26359794461873054,False,REGULAR,USD,5.15,0.050485,AAPL,2026-06-19,CALL
AAPL260619C00197500,2026-05-29 20:00:00+00:00,197.5,4.05,3.9,4.1,0.093952,2.374895,3285.0,3677.0,0.26257882255653614,False,REGULAR,USD,4.0,0.05,AAPL,2026-06-19,CALL
AAPL260619C00200000,2026-05-29 20:00:00+00:00,200.0,2.95,2.92,3.08,0.107234,3.772171,607.0,550.0,0.2615725199799874,False,REGULAR,USD,3.0,0.053333,AAPL,2026-06-19,CALL
AAPL260619C00202500,2026-05-29 20:00:00+00:00,202.5,2.25,2.15,2.26,0.044965,2.039197,46.0,1160.0,0.26057871838010277,False,REGULAR,USD,2.205,0.049887,AAPL,2026-06-19,CALL
AAPL260619C00205000,2026-05-29 20:00:00+00:00,205.0,1.6,1.55,1.65,0.044364,2.851824,743.0,16808.0,0.2595971109727576,False,REGULAR,USD,1.6,0.0625,AAPL,2026-06-19,CALL
AAPL260619C00207500,2026-05-29 20:00:00+00:00,207.5,1.1,1.05,1.15,-0.036182,-3.184525,1024.0,2571.0,0.25862740213017005,False,REGULAR,USD,1.1,0.090909,AAPL,2026-06-19,CALL
AAPL260619C00210000,2026-05-29 20:00:00+00:00,210.0,0.75,0.7,0.8,0.004744,0.63656,3944.0,8614.0,0.2576693068464328,False,REGULAR,USD,0.75,0.133333,AAPL,2026-06-19,CALL
AAPL260619C00212500,2026-05-29 20:00:00+00:00,212.5,0.5,0.45,0.55,-0.01518,-2.946543,14.0,1269.0,0.25672255023467255,False,REGULAR,USD,0.5,0.2,AAPL,2026-06-19,CALL
AAPL260619C00215000,2026-05-29 20:00:00+00:00,215.0,0.33,0.32,0.34,0.012906,4.070086,186.0,163.0,0.25578686705361725,False,REGULAR,USD,0.33,0.060606,AAPL,2026-06-19,CALL
AAPL260619C00217500,2026-05-29 20:00:00+00:00,217.5,0.21,0.2,0.22,0.004938,2.408052,3261.0,829.0,0.2548620012615312,False,REGULAR,USD,0.21,0.095238,AAPL,2026-06-19,CALL
AAPL260619C00220000,2026-05-29 20:00:00+00:00,220.0,0.13,0.12,0.14,-0.001621,-1.231566,344.0,1944.0,0.25394770559564134,False,REGULAR,USD,0.13,0.153846,AAPL,2026-06-19,CALL
AAPL260619C00222500,2026-05-29 20:00:00+00:00,222.5,0.07,0.06,0.08,-0.00182,-2.534113,1441.0,434.0,0.2530437411753267,False,REGULAR,USD,0.07,0.285714,AAPL,2026-06-19,CALL
AAPL260619C00225000,2026-05-29 20:00:00+00:00,225.0,0.04,0.03,0.05,0.002089,5.510274,403.0,566.0,0.2521498771274767,False,REGULAR,USD,0.04,0.5,AAPL,2026-06-19,CALL
AAPL260619C00227500,2026-05-29 20:00:00+00:00,227.5,0.02,0.01,0.03,0.000333,1.693192,84.0,613.0,0.25126589023254986,False,REGULAR,USD,0.02,1.0,AAPL,2026-06-19,CALL
