contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
AGG260605C00092000,2026-05-29 20:00:00+00:00,92.0,5.1000000000000005,4.97,5.23,0.077939,1.551933,72.0,322.0,0.09631106641050084,True,REGULAR,USD,5.1,0.05098,AGG,2026-06-05,CALL
AGG260605C00094000,2026-05-29 20:00:00+00:00,94.0,3.1,3.02,3.18,0.069452,2.291731,402.0,3857.0,0.09459056999282375,True,REGULAR,USD,3.1,0.051613,AGG,2026-06-05,CALL
AGG260605C00095000,2026-05-29 20:00:00+00:00,95.0,2.1,2.05,2.15,-0.063436,-2.932188,73.0,92.0,0.0937440012463808,True,REGULAR,USD,2.1,0.047619,AGG,2026-06-05,CALL
AGG260605C00096000,2026-05-29 20:00:00+00:00,96.0,1.2000000000000002,1.15,1.25,-0.037232,-3.009298,138.0,155.0,0.09290629725699716,True,REGULAR,USD,1.2,0.083333,AGG,2026-06-05,CALL
AGG260605C00097000,2026-05-29 20:00:00+00:00,97.0,0.55,0.5,0.6,0.005711,1.049259,38.0,931.0,0.09207727429415344,False,REGULAR,USD,0.55,0.181818,AGG,2026-06-05,CALL
AGG260605C00098000,2026-05-29 20:00:00+00:00,98.0,0.16,0.15,0.17,-0.00459,-2.788748,72.0,249.0,0.09125675428077831,False,REGULAR,USD,0.16,0.125,AGG,2026-06-05,CALL
AGG260605C00099000,2026-05-29 20:00:00+00:00,99.0,0.03,0.02,0.04,0.001392,4.865772,21.0,1657.0,0.09044456456365688,False,REGULAR,USD,0.03,0.666667,AGG,2026-06-05,CALL
AGG260612C00092000,2026-05-29 20:00:00+00:00,92.0,5.25,5.02,5.28,-0.235644,-4.295649,86.0,100.0,0.09717150159590819,True,REGULAR,USD,5.15,0.050485,AGG,2026-06-12,CALL
AGG260612C00094000,2026-05-29 20:00:00+00:00,94.0,3.2,3.12,3.28,-0.050925,-1.566477,333.0,1272.0,0.0954510051782311,True,REGULAR,USD,3.2,0.05,AGG,2026-06-12,CALL
AGG260612C00095000,2026-05-29 20:00:00+00:00,95.0,2.3000000000000003,2.19,2.31,-0.119733,-4.948191,6.0,793.0,0.09460443643178815,True,REGULAR,USD,2.25,0.053333,AGG,2026-06-12,CALL
AGG260612C00096000,2026-05-29 20:00:00+00:00,96.0,1.4500000000000002,1.4,1.5,0.073359,5.32884,102.0,4010.0,0.09376673244240451,True,REGULAR,USD,1.45,0.068966,AGG,2026-06-12,CALL
AGG260612C00097000,2026-05-29 20:00:00+00:00,97.0,0.8,0.75,0.85,0.031066,4.040139,3300.0,2101.0,0.09293770947956079,False,REGULAR,USD,0.8,0.125,AGG,2026-06-12,CALL
AGG260612C00098000,2026-05-29 20:00:00+00:00,98.0,0.36,0.35,0.37,0.017548,5.124222,169.0,9244.0,0.09211718946618566,False,REGULAR,USD,0.36,0.055556,AGG,2026-06-12,CALL
AGG260612C00099000,2026-05-29 20:00:00+00:00,99.0,0.13,0.12,0.14,0.005325,4.271105,59.0,1014.0,0.09130499974906423,False,REGULAR,USD,0.13,0.153846,AGG,2026-06-12,CALL
AGG260612C00100000,2026-05-29 20:00:00+00:00,100.0,0.04,0.03,0.05,0.001785,4.670941,44.0,612.0,0.09050097288078411,False,REGULAR,USD,0.04,0.5,AGG,2026-06-12,CALL
AGG260619C00087000,2026-05-29 20:00:00+00:00,87.0,10.200000000000001,9.95,10.46,-0.191242,-1.840415,754.0,147.0,0.10230217340663447,True,REGULAR,USD,10.205,0.049976,AGG,2026-06-19,CALL
AGG260619C00089000,2026-05-29 20:00:00+00:00,89.0,8.25,8.04,8.46,0.055049,0.671743,348.0,5230.0,0.10048391332042998,True,REGULAR,USD,8.25,0.050909,AGG,2026-06-19,CALL
AGG260619C00091000,2026-05-29 20:00:00+00:00,91.0,6.15,6.09,6.41,0.309902,5.306452,229.0,1275.0,0.09870606237765317,True,REGULAR,USD,6.25,0.0512,AGG,2026-06-19,CALL
AGG260619C00093000,2026-05-29 20:00:00+00:00,93.0,4.25,4.14,4.36,0.177753,4.364986,165.0,2926.0,0.09696686344674069,True,REGULAR,USD,4.25,0.051765,AGG,2026-06-19,CALL
AGG260619C00095000,2026-05-29 20:00:00+00:00,95.0,2.35,2.34,2.46,0.111921,5.000762,1722.0,3673.0,0.0952646715709579,True,REGULAR,USD,2.4,0.05,AGG,2026-06-19,CALL
AGG260619C00096000,2026-05-29 20:00:00+00:00,96.0,1.6500000000000001,1.6,1.7,0.026973,1.661895,514.0,160.0,0.09442696758157426,True,REGULAR,USD,1.65,0.060606,AGG,2026-06-19,CALL
AGG260619C00097000,2026-05-29 20:00:00+00:00,97.0,1.0,0.95,1.05,0.058493,6.212699,172.0,861.0,0.09359794461873054,False,REGULAR,USD,1.0,0.1,AGG,2026-06-19,CALL
AGG260619C00098000,2026-05-29 20:00:00+00:00,98.0,0.55,0.5,0.6,-0.016085,-2.841446,37.0,159.0,0.09277742460535542,False,REGULAR,USD,0.55,0.181818,AGG,2026-06-19,CALL
AGG260619C00099000,2026-05-29 20:00:00+00:00,99.0,0.26,0.25,0.27,0.003004,1.16889,483.0,696.0,0.09196523488823398,False,REGULAR,USD,0.26,0.076923,AGG,2026-06-19,CALL
AGG260619C00100000,2026-05-29 20:00:00+00:00,100.0,0.1,0.09,0.11,-0.003536,-3.415237,34.0,247.0,0.09116120801995387,False,REGULAR,USD,0.1,0.2,AGG,2026-06-19,CALL
AGG260619C00101000,2026-05-29 20:00:00+00:00,101.0,0.04,0.03,0.05,-0.000464,-1.146698,76.0,456.0,0.09036518155170041,False,REGULAR,USD,0.04,0.5,AGG,2026-06-19,CALL
AGG260626C00087000,2026-05-29 20:00:00+00:00,87.0,10.450000000000001,10.04,10.56,0.567784,5.745513,1341.0,441.0,0.10285877737621081,True,REGULAR,USD,10.3,0.050485,AGG,2026-06-26,CALL
AGG260626C00089000,2026-05-29 20:00:00+00:00,89.0,8.4,8.09,8.51,0.156066,1.893101,415.0,652.0,0.10104051729000632,True,REGULAR,USD,8.3,0.050602,AGG,2026-06-26,CALL
AGG260626C00091000,2026-05-29 20:00:00+00:00,91.0,6.300000000000001,6.14,6.46,0.237738,3.921605,80.0,145.0,0.09926266634722951,True,REGULAR,USD,6.3,0.050794,AGG,2026-06-26,CALL
AGG260626C00093000,2026-05-29 20:00:00+00:00,93.0,4.4,4.24,4.46,-0.082244,-1.834884,95.0,10480.0,0.09752346741631703,True,REGULAR,USD,4.35,0.050575,AGG,2026-06-26,CALL
AGG260626C00095000,2026-05-29 20:00:00+00:00,95.0,2.6,2.54,2.67,0.151581,6.190975,192.0,1386.0,0.09582127554053424,True,REGULAR,USD,2.605,0.049904,AGG,2026-06-26,CALL
AGG260626C00096000,2026-05-29 20:00:00+00:00,96.0,1.75,1.75,1.85,0.007818,0.448748,3.0,27128.0,0.0949835715511506,True,REGULAR,USD,1.8,0.055556,AGG,2026-06-26,CALL
AGG260626C00097000,2026-05-29 20:00:00+00:00,97.0,1.2000000000000002,1.15,1.25,0.005282,0.442113,33.0,313.0,0.09415454858830688,False,REGULAR,USD,1.2,0.083333,AGG,2026-06-26,CALL
AGG260626C00098000,2026-05-29 20:00:00+00:00,98.0,0.7000000000000001,0.65,0.75,-0.03061,-4.18965,363.0,469.0,0.09333402857493175,False,REGULAR,USD,0.7,0.142857,AGG,2026-06-26,CALL
AGG260626C00099000,2026-05-29 20:00:00+00:00,99.0,0.38,0.37,0.39,-0.000184,-0.048398,14.0,5624.0,0.09252183885781032,False,REGULAR,USD,0.38,0.052632,AGG,2026-06-26,CALL
AGG260626C00100000,2026-05-29 20:00:00+00:00,100.0,0.18,0.17,0.19,0.001584,0.887813,1509.0,1007.0,0.0917178119895302,False,REGULAR,USD,0.18,0.111111,AGG,2026-06-26,CALL
AGG260626C00101000,2026-05-29 20:00:00+00:00,101.0,0.08,0.07,0.09,-0.000183,-0.228228,71.0,11149.0,0.09092178552127675,False,REGULAR,USD,0.08,0.25,AGG,2026-06-26,CALL
AGG260703C00087000,2026-05-29 20:00:00+00:00,87.0,10.450000000000001,10.09,10.61,-0.368263,-3.404086,759.0,148.0,0.10334915531754392,True,REGULAR,USD,10.35,0.050242,AGG,2026-07-03,CALL
AGG260703C00089000,2026-05-29 20:00:00+00:00,89.0,8.55,8.19,8.61,0.443775,5.474496,10.0,1550.0,0.10153089523133943,True,REGULAR,USD,8.4,0.05,AGG,2026-07-03,CALL
AGG260703C00091000,2026-05-29 20:00:00+00:00,91.0,6.45,6.24,6.56,0.122142,1.930227,14.0,220.0,0.09975304428856262,True,REGULAR,USD,6.4,0.05,AGG,2026-07-03,CALL
AGG260703C00093000,2026-05-29 20:00:00+00:00,93.0,4.5,4.39,4.61,-0.194588,-4.144943,514.0,553.0,0.09801384535765013,True,REGULAR,USD,4.5,0.048889,AGG,2026-07-03,CALL
AGG260703C00095000,2026-05-29 20:00:00+00:00,95.0,2.75,2.68,2.82,0.105786,4.00066,72.0,2085.0,0.09631165348186735,True,REGULAR,USD,2.75,0.050909,AGG,2026-07-03,CALL
AGG260703C00096000,2026-05-29 20:00:00+00:00,96.0,2.0,1.95,2.05,-0.088245,-4.225797,1601.0,2731.0,0.09547394949248371,True,REGULAR,USD,2.0,0.05,AGG,2026-07-03,CALL
AGG260703C00097000,2026-05-29 20:00:00+00:00,97.0,1.35,1.3,1.4,-0.012039,-0.883895,29.0,1881.0,0.09464492652963999,False,REGULAR,USD,1.35,0.074074,AGG,2026-07-03,CALL
AGG260703C00098000,2026-05-29 20:00:00+00:00,98.0,0.8500000000000001,0.8,0.9,-0.039453,-4.435648,1783.0,3423.0,0.09382440651626486,False,REGULAR,USD,0.85,0.117647,AGG,2026-07-03,CALL
AGG260703C00099000,2026-05-29 20:00:00+00:00,99.0,0.5,0.45,0.55,0.028738,6.098094,418.0,369.0,0.09301221679914343,False,REGULAR,USD,0.5,0.2,AGG,2026-07-03,CALL
AGG260703C00100000,2026-05-29 20:00:00+00:00,100.0,0.27,0.26,0.28,0.015685,6.167548,39.0,107.0,0.09220818993086331,False,REGULAR,USD,0.27,0.074074,AGG,2026-07-03,CALL
AGG260703C00101000,2026-05-29 20:00:00+00:00,101.0,0.13,0.12,0.14,0.00431,3.429072,1601.0,125.0,0.09141216346260986,False,REGULAR,USD,0.13,0.153846,AGG,2026-07-03,CALL
AGG260703C00103000,2026-05-29 20:00:00+00:00,103.0,0.02,0.01,0.03,0.000157,0.791211,300.0,2597.0,0.08984348575153975,False,REGULAR,USD,0.02,1.0,AGG,2026-07-03,CALL
AGG260717C00082000,2026-05-29 20:00:00+00:00,82.0,15.4,15.11,15.89,-0.391934,-2.481862,215.0,61.0,0.10893528968632761,True,REGULAR,USD,15.5,0.050323,AGG,2026-07-17,CALL
AGG260717C00085000,2026-05-29 20:00:00+00:00,85.0,12.65,12.19,12.81,-0.506664,-3.851007,11.0,130.0,0.10606072894824255,True,REGULAR,USD,12.5,0.0496,AGG,2026-07-17,CALL
AGG260717C00088000,2026-05-29 20:00:00+00:00,88.0,9.75,9.31,9.79,-0.09536,-0.968578,281.0,708.0,0.10328588430921135,True,REGULAR,USD,9.55,0.050262,AGG,2026-07-17,CALL
AGG260717C00091000,2026-05-29 20:00:00+00:00,91.0,6.7,6.44,6.77,-0.043829,-0.649913,419.0,2876.0,0.10060406894611987,True,REGULAR,USD,6.605,0.049962,AGG,2026-07-17,CALL
