contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
AMZN260605C00190000,2026-05-29 20:00:00+00:00,190.0,10.600000000000001,10.24,10.76,-0.33366,-3.051677,24.0,647.0,0.2861807378451575,True,REGULAR,USD,10.5,0.049524,AMZN,2026-06-05,CALL
AMZN260605C00192500,2026-05-29 20:00:00+00:00,192.5,8.450000000000001,8.09,8.51,0.368596,4.561039,57.0,2722.0,0.2851349713197693,True,REGULAR,USD,8.3,0.050602,AMZN,2026-06-05,CALL
AMZN260605C00195000,2026-05-29 20:00:00+00:00,195.0,6.4,6.19,6.51,0.118941,1.893646,1104.0,762.0,0.28410269893289664,True,REGULAR,USD,6.35,0.050394,AMZN,2026-06-05,CALL
AMZN260605C00197500,2026-05-29 20:00:00+00:00,197.5,4.6000000000000005,4.49,4.72,0.25895,5.965147,414.0,1588.0,0.2830835768707023,True,REGULAR,USD,4.605,0.049946,AMZN,2026-06-05,CALL
AMZN260605C00200000,2026-05-29 20:00:00+00:00,200.0,3.2,3.12,3.28,0.104285,3.368689,540.0,1320.0,0.28207727429415347,False,REGULAR,USD,3.2,0.05,AMZN,2026-06-05,CALL
AMZN260605C00202500,2026-05-29 20:00:00+00:00,202.5,2.1,2.05,2.15,0.020663,0.99373,1004.0,1093.0,0.2810834726942689,False,REGULAR,USD,2.1,0.047619,AMZN,2026-06-05,CALL
AMZN260605C00205000,2026-05-29 20:00:00+00:00,205.0,1.3,1.25,1.35,0.020147,1.574165,1173.0,4222.0,0.28010186528692377,False,REGULAR,USD,1.3,0.076923,AMZN,2026-06-05,CALL
AMZN260605C00207500,2026-05-29 20:00:00+00:00,207.5,0.75,0.7,0.8,-0.015313,-2.000881,1369.0,2183.0,0.27913215644433614,False,REGULAR,USD,0.75,0.133333,AMZN,2026-06-05,CALL
AMZN260605C00210000,2026-05-29 20:00:00+00:00,210.0,0.4,0.39,0.41,-0.016579,-3.979797,307.0,230.0,0.2781740611605989,False,REGULAR,USD,0.4,0.05,AMZN,2026-06-05,CALL
AMZN260605C00212500,2026-05-29 20:00:00+00:00,212.5,0.2,0.19,0.21,0.002966,1.505324,629.0,8131.0,0.2772273045488387,False,REGULAR,USD,0.2,0.1,AMZN,2026-06-05,CALL
AMZN260605C00215000,2026-05-29 20:00:00+00:00,215.0,0.1,0.09,0.11,-0.004418,-4.231071,170.0,317.0,0.2762916213677834,False,REGULAR,USD,0.1,0.2,AMZN,2026-06-05,CALL
AMZN260605C00217500,2026-05-29 20:00:00+00:00,217.5,0.04,0.03,0.05,-0.000195,-0.485135,905.0,168.0,0.2753667555756973,False,REGULAR,USD,0.04,0.5,AMZN,2026-06-05,CALL
