contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
AVEM260605C00052000,2026-05-29 20:00:00+00:00,52.0,3.0500000000000003,2.97,3.13,-0.09006,-2.868098,328.0,1176.0,0.18656443162623693,True,REGULAR,USD,3.05,0.052459,AVEM,2026-06-05,CALL
AVEM260605C00053000,2026-05-29 20:00:00+00:00,53.0,2.15,2.05,2.15,0.047798,2.273711,403.0,2401.0,0.18504057602858137,True,REGULAR,USD,2.1,0.047619,AVEM,2026-06-05,CALL
AVEM260605C00054000,2026-05-29 20:00:00+00:00,54.0,1.25,1.2,1.3,0.064208,5.414778,1903.0,218.0,0.18354520538760916,True,REGULAR,USD,1.25,0.08,AVEM,2026-06-05,CALL
AVEM260605C00055000,2026-05-29 20:00:00+00:00,55.0,0.6000000000000001,0.55,0.65,0.01469,2.509781,826.0,9345.0,0.18207727429415344,False,REGULAR,USD,0.6,0.166667,AVEM,2026-06-05,CALL
AVEM260605C00056000,2026-05-29 20:00:00+00:00,56.0,0.2,0.19,0.21,-0.008943,-4.280115,523.0,234.0,0.18063579385393919,False,REGULAR,USD,0.2,0.1,AVEM,2026-06-05,CALL
AVEM260605C00057000,2026-05-29 20:00:00+00:00,57.0,0.05,0.04,0.06,0.002456,5.165741,319.0,5834.0,0.1792198276859871,False,REGULAR,USD,0.05,0.4,AVEM,2026-06-05,CALL
AVEM260612C00052000,2026-05-29 20:00:00+00:00,52.0,3.2,3.07,3.23,0.190439,6.3278,73.0,2745.0,0.18742486681164428,True,REGULAR,USD,3.15,0.050794,AVEM,2026-06-12,CALL
AVEM260612C00053000,2026-05-29 20:00:00+00:00,53.0,2.25,2.19,2.31,0.040065,1.812949,344.0,3586.0,0.18590101121398872,True,REGULAR,USD,2.25,0.053333,AVEM,2026-06-12,CALL
AVEM260612C00054000,2026-05-29 20:00:00+00:00,54.0,1.4000000000000001,1.4,1.5,-0.066032,-4.504131,5130.0,3678.0,0.1844056405730165,True,REGULAR,USD,1.45,0.068966,AVEM,2026-06-12,CALL
AVEM260612C00055000,2026-05-29 20:00:00+00:00,55.0,0.8500000000000001,0.8,0.9,0.017198,2.065077,82.0,356.0,0.18293770947956078,False,REGULAR,USD,0.85,0.117647,AVEM,2026-06-12,CALL
