contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
AVGO260605C00220000,2026-05-29 20:00:00+00:00,220.0,11.55,11.16,11.74,0.275516,2.443713,52.0,732.0,0.37563341529982014,True,REGULAR,USD,11.45,0.050655,AVGO,2026-06-05,CALL
AVGO260605C00225000,2026-05-29 20:00:00+00:00,225.0,7.65,7.56,7.94,-0.367708,-4.586198,5075.0,6771.0,0.37383558683165546,True,REGULAR,USD,7.75,0.049032,AVGO,2026-06-05,CALL
AVGO260605C00230000,2026-05-29 20:00:00+00:00,230.0,4.800000000000001,4.73,4.97,-0.207745,-4.148474,30.0,355.0,0.37207727429415344,False,REGULAR,USD,4.85,0.049485,AVGO,2026-06-05,CALL
AVGO260605C00235000,2026-05-29 20:00:00+00:00,235.0,2.75,2.68,2.82,0.043411,1.603901,444.0,271.0,0.37035677787647636,False,REGULAR,USD,2.75,0.050909,AVGO,2026-06-05,CALL
AVGO260605C00240000,2026-05-29 20:00:00+00:00,240.0,1.4000000000000001,1.35,1.45,-0.032411,-2.262689,1150.0,112.0,0.36867250514064975,False,REGULAR,USD,1.4,0.071429,AVGO,2026-06-05,CALL
AVGO260605C00245000,2026-05-29 20:00:00+00:00,245.0,0.65,0.6,0.7,-0.003023,-0.462924,18.0,457.0,0.3670229621644309,False,REGULAR,USD,0.65,0.153846,AVGO,2026-06-05,CALL
AVGO260605C00250000,2026-05-29 20:00:00+00:00,250.0,0.27,0.25,0.27,-0.012028,-4.264825,7.0,455.0,0.36540674557902936,False,REGULAR,USD,0.26,0.076923,AVGO,2026-06-05,CALL
AVGO260605C00255000,2026-05-29 20:00:00+00:00,255.0,0.1,0.09,0.11,-0.002823,-2.745495,41.0,2577.0,0.363822535395335,False,REGULAR,USD,0.1,0.2,AVGO,2026-06-05,CALL
AVGO260605C00260000,2026-05-29 20:00:00+00:00,260.0,0.03,0.02,0.04,-0.000201,-0.665541,1644.0,2207.0,0.36226908852676687,False,REGULAR,USD,0.03,0.666667,AVGO,2026-06-05,CALL
AVGO260612C00220000,2026-05-29 20:00:00+00:00,220.0,13.25,12.72,13.38,0.254767,1.960465,456.0,8335.0,0.3764938504852275,True,REGULAR,USD,13.05,0.050575,AVGO,2026-06-12,CALL
AVGO260612C00225000,2026-05-29 20:00:00+00:00,225.0,9.65,9.46,9.94,0.497016,5.430098,290.0,1224.0,0.3746960220170628,True,REGULAR,USD,9.7,0.049485,AVGO,2026-06-12,CALL
AVGO260612C00230000,2026-05-29 20:00:00+00:00,230.0,6.8500000000000005,6.73,7.07,-0.098058,-1.411301,248.0,1038.0,0.3729377094795608,False,REGULAR,USD,6.9,0.049275,AVGO,2026-06-12,CALL
AVGO260612C00235000,2026-05-29 20:00:00+00:00,235.0,4.6000000000000005,4.58,4.82,-0.069852,-1.495808,260.0,1530.0,0.3712172130618837,False,REGULAR,USD,4.7,0.051064,AVGO,2026-06-12,CALL
AVGO260612C00240000,2026-05-29 20:00:00+00:00,240.0,3.0500000000000003,2.97,3.13,0.113241,3.855985,118.0,4276.0,0.3695329403260571,False,REGULAR,USD,3.05,0.052459,AVGO,2026-06-12,CALL
AVGO260612C00245000,2026-05-29 20:00:00+00:00,245.0,1.85,1.8,1.9,-0.020434,-1.092474,140.0,626.0,0.36788339734983827,False,REGULAR,USD,1.85,0.054054,AVGO,2026-06-12,CALL
AVGO260612C00250000,2026-05-29 20:00:00+00:00,250.0,1.1,1.05,1.15,0.016357,1.509445,240.0,8025.0,0.3662671807644367,False,REGULAR,USD,1.1,0.090909,AVGO,2026-06-12,CALL
