contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
BBEU260605C00033000,2026-05-29 20:00:00+00:00,33.0,2.0,2.0,2.1,0.022873,1.156881,4298.0,2317.0,0.16678451429598812,True,REGULAR,USD,2.05,0.04878,BBEU,2026-06-05,CALL
BBEU260605C00034000,2026-05-29 20:00:00+00:00,34.0,1.05,1.0,1.1,0.029526,2.893361,114.0,1195.0,0.16439627724401362,True,REGULAR,USD,1.05,0.095238,BBEU,2026-06-05,CALL
BBEU260605C00035000,2026-05-29 20:00:00+00:00,35.0,0.33,0.32,0.34,0.003726,1.141985,508.0,3436.0,0.16207727429415345,False,REGULAR,USD,0.33,0.060606,BBEU,2026-06-05,CALL
BBEU260605C00036000,2026-05-29 20:00:00+00:00,36.0,0.04,0.03,0.05,0.001055,2.708949,13.0,434.0,0.15982360413681776,False,REGULAR,USD,0.04,0.5,BBEU,2026-06-05,CALL
BBEU260612C00033000,2026-05-29 20:00:00+00:00,33.0,2.0500000000000003,2.0,2.1,0.043515,2.168718,1381.0,715.0,0.16764494948139547,True,REGULAR,USD,2.05,0.04878,BBEU,2026-06-12,CALL
BBEU260612C00034000,2026-05-29 20:00:00+00:00,34.0,1.1500000000000001,1.1,1.2,-0.055692,-4.61909,1726.0,825.0,0.16525671242942097,True,REGULAR,USD,1.15,0.086957,BBEU,2026-06-12,CALL
BBEU260612C00035000,2026-05-29 20:00:00+00:00,35.0,0.48,0.47,0.49,0.000584,0.121815,144.0,1357.0,0.1629377094795608,False,REGULAR,USD,0.48,0.041667,BBEU,2026-06-12,CALL
BBEU260612C00036000,2026-05-29 20:00:00+00:00,36.0,0.12,0.11,0.13,0.006,5.263158,395.0,202.0,0.1606840393222251,False,REGULAR,USD,0.12,0.166667,BBEU,2026-06-12,CALL
BBEU260612C00037000,2026-05-29 20:00:00+00:00,37.0,0.02,0.01,0.03,0.000824,4.297038,6042.0,191.0,0.15849212138717594,False,REGULAR,USD,0.02,1.0,BBEU,2026-06-12,CALL
BBEU260619C00032000,2026-05-29 20:00:00+00:00,32.0,3.1500000000000004,3.02,3.18,0.119931,3.958029,211.0,1178.0,0.1707669173139055,True,REGULAR,USD,3.1,0.051613,BBEU,2026-06-19,CALL
BBEU260619C00033000,2026-05-29 20:00:00+00:00,33.0,2.0500000000000003,2.05,2.15,0.053422,2.675678,46.0,11372.0,0.1683051846205652,True,REGULAR,USD,2.1,0.047619,BBEU,2026-06-19,CALL
BBEU260619C00034000,2026-05-29 20:00:00+00:00,34.0,1.25,1.2,1.3,0.067254,5.686259,29.0,717.0,0.1659169475685907,True,REGULAR,USD,1.25,0.08,BBEU,2026-06-19,CALL
BBEU260619C00035000,2026-05-29 20:00:00+00:00,35.0,0.6000000000000001,0.55,0.65,-0.008627,-1.417453,63.0,5980.0,0.16359794461873053,False,REGULAR,USD,0.6,0.166667,BBEU,2026-06-19,CALL
BBEU260619C00036000,2026-05-29 20:00:00+00:00,36.0,0.21,0.2,0.22,-0.012091,-5.444165,146.0,6502.0,0.16134427446139485,False,REGULAR,USD,0.21,0.095238,BBEU,2026-06-19,CALL
BBEU260619C00037000,2026-05-29 20:00:00+00:00,37.0,0.05,0.04,0.06,0.000559,1.130641,1886.0,2699.0,0.15915235652634568,False,REGULAR,USD,0.05,0.4,BBEU,2026-06-19,CALL
BBEU260626C00032000,2026-05-29 20:00:00+00:00,32.0,3.1,3.07,3.23,-0.041059,-1.307171,12.0,891.0,0.17132352128348186,True,REGULAR,USD,3.15,0.050794,BBEU,2026-06-26,CALL
BBEU260626C00033000,2026-05-29 20:00:00+00:00,33.0,2.25,2.15,2.26,-0.087217,-3.73166,265.0,45.0,0.16886178859014156,True,REGULAR,USD,2.205,0.049887,BBEU,2026-06-26,CALL
BBEU260626C00034000,2026-05-29 20:00:00+00:00,34.0,1.4000000000000001,1.3,1.4,0.030136,2.199926,358.0,2126.0,0.16647355153816706,True,REGULAR,USD,1.35,0.074074,BBEU,2026-06-26,CALL
BBEU260626C00035000,2026-05-29 20:00:00+00:00,35.0,0.7000000000000001,0.65,0.75,0.038516,5.822665,239.0,25.0,0.1641545485883069,False,REGULAR,USD,0.7,0.142857,BBEU,2026-06-26,CALL
BBEU260626C00036000,2026-05-29 20:00:00+00:00,36.0,0.29,0.28,0.3,-0.014646,-4.807547,407.0,2093.0,0.1619008784309712,False,REGULAR,USD,0.29,0.068966,BBEU,2026-06-26,CALL
BBEU260626C00037000,2026-05-29 20:00:00+00:00,37.0,0.09,0.08,0.1,0.004641,5.437037,1452.0,868.0,0.15970896049592204,False,REGULAR,USD,0.09,0.222222,BBEU,2026-06-26,CALL
BBEU260626C00038000,2026-05-29 20:00:00+00:00,38.0,0.02,0.01,0.03,-0.000126,-0.626056,68.0,4328.0,0.15757550072934912,False,REGULAR,USD,0.02,1.0,BBEU,2026-06-26,CALL
BBEU260703C00032000,2026-05-29 20:00:00+00:00,32.0,3.1500000000000004,3.07,3.23,0.067264,2.181958,201.0,8455.0,0.17181389922481496,True,REGULAR,USD,3.15,0.050794,BBEU,2026-07-03,CALL
BBEU260703C00033000,2026-05-29 20:00:00+00:00,33.0,2.3000000000000003,2.19,2.31,0.073722,3.311446,210.0,12859.0,0.16935216653147467,True,REGULAR,USD,2.25,0.053333,BBEU,2026-07-03,CALL
BBEU260703C00034000,2026-05-29 20:00:00+00:00,34.0,1.4500000000000002,1.4,1.5,-0.030772,-2.078105,108.0,286.0,0.16696392947950017,True,REGULAR,USD,1.45,0.068966,BBEU,2026-07-03,CALL
BBEU260703C00035000,2026-05-29 20:00:00+00:00,35.0,0.8,0.75,0.85,0.022179,2.851427,83.0,779.0,0.16464492652964,False,REGULAR,USD,0.8,0.125,BBEU,2026-07-03,CALL
BBEU260703C00036000,2026-05-29 20:00:00+00:00,36.0,0.37,0.36,0.38,0.00195,0.529819,51.0,220.0,0.1623912563723043,False,REGULAR,USD,0.37,0.054054,BBEU,2026-07-03,CALL
BBEU260703C00037000,2026-05-29 20:00:00+00:00,37.0,0.14,0.13,0.15,0.007879,5.963473,118.0,984.0,0.16019933843725515,False,REGULAR,USD,0.14,0.142857,BBEU,2026-07-03,CALL
BBEU260703C00038000,2026-05-29 20:00:00+00:00,38.0,0.04,0.03,0.05,0.002194,5.803312,63.0,4267.0,0.15806587867068222,False,REGULAR,USD,0.04,0.5,BBEU,2026-07-03,CALL
