contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
GLD260605C00295000,2026-05-29 20:00:00+00:00,295.0,15.55,14.92,15.68,0.455086,3.01483,68.0,4311.0,0.1660450295853032,True,REGULAR,USD,15.3,0.049673,GLD,2026-06-05,CALL
GLD260605C00300000,2026-05-29 20:00:00+00:00,300.0,10.350000000000001,10.19,10.71,0.222703,2.199037,95.0,130.0,0.1647004601199927,True,REGULAR,USD,10.45,0.049761,GLD,2026-06-05,CALL
GLD260605C00305000,2026-05-29 20:00:00+00:00,305.0,6.1000000000000005,6.0,6.3,0.285562,4.911257,1331.0,824.0,0.16337811596389587,True,REGULAR,USD,6.15,0.04878,GLD,2026-06-05,CALL
GLD260605C00310000,2026-05-29 20:00:00+00:00,310.0,2.85,2.83,2.97,-0.144853,-4.836732,227.0,496.0,0.16207727429415345,False,REGULAR,USD,2.9,0.048276,GLD,2026-06-05,CALL
GLD260605C00315000,2026-05-29 20:00:00+00:00,315.0,1.05,1.0,1.1,0.045754,4.556055,163.0,2085.0,0.16079724698643816,False,REGULAR,USD,1.05,0.095238,GLD,2026-06-05,CALL
GLD260605C00320000,2026-05-29 20:00:00+00:00,320.0,0.26,0.25,0.27,0.006589,2.600124,137.0,258.0,0.15953737842898702,False,REGULAR,USD,0.26,0.076923,GLD,2026-06-05,CALL
GLD260605C00325000,2026-05-29 20:00:00+00:00,325.0,0.04,0.03,0.05,-0.000498,-1.22969,246.0,97.0,0.1582970435061098,False,REGULAR,USD,0.04,0.5,GLD,2026-06-05,CALL
GLD260612C00295000,2026-05-29 20:00:00+00:00,295.0,15.5,15.36,16.14,-0.767806,-4.719788,61.0,249.0,0.16690546477071055,True,REGULAR,USD,15.75,0.049524,GLD,2026-06-12,CALL
GLD260612C00300000,2026-05-29 20:00:00+00:00,300.0,11.05,10.97,11.53,0.266375,2.47018,108.0,9457.0,0.16556089530540005,True,REGULAR,USD,11.25,0.049778,GLD,2026-06-12,CALL
GLD260612C00305000,2026-05-29 20:00:00+00:00,305.0,7.4,7.12,7.48,-0.304503,-3.952273,2638.0,2447.0,0.16423855114930322,True,REGULAR,USD,7.3,0.049315,GLD,2026-06-12,CALL
GLD260612C00310000,2026-05-29 20:00:00+00:00,310.0,4.1000000000000005,4.09,4.31,0.065469,1.622716,429.0,857.0,0.1629377094795608,False,REGULAR,USD,4.2,0.052381,GLD,2026-06-12,CALL
GLD260612C00315000,2026-05-29 20:00:00+00:00,315.0,2.1,2.05,2.15,0.000368,0.017527,113.0,469.0,0.1616576821718455,False,REGULAR,USD,2.1,0.047619,GLD,2026-06-12,CALL
GLD260612C00320000,2026-05-29 20:00:00+00:00,320.0,0.9,0.85,0.95,-0.045564,-4.818711,352.0,198.0,0.16039781361439437,False,REGULAR,USD,0.9,0.111111,GLD,2026-06-12,CALL
GLD260612C00325000,2026-05-29 20:00:00+00:00,325.0,0.32,0.31,0.33,0.01331,4.339887,9404.0,1228.0,0.15915747869151714,False,REGULAR,USD,0.32,0.0625,GLD,2026-06-12,CALL
GLD260612C00330000,2026-05-29 20:00:00+00:00,330.0,0.09,0.08,0.1,-0.002148,-2.331033,140.0,292.0,0.15793608092105407,False,REGULAR,USD,0.09,0.222222,GLD,2026-06-12,CALL
GLD260612C00335000,2026-05-29 20:00:00+00:00,335.0,0.02,0.01,0.03,0.001077,5.691487,27.0,599.0,0.15673305073189084,False,REGULAR,USD,0.02,1.0,GLD,2026-06-12,CALL
GLD260619C00280000,2026-05-29 20:00:00+00:00,280.0,30.35,29.98,31.52,0.997959,3.399965,77.0,8850.0,0.17174056016352593,True,REGULAR,USD,30.75,0.050081,GLD,2026-06-19,CALL
GLD260619C00285000,2026-05-29 20:00:00+00:00,285.0,25.5,25.16,26.45,-0.008756,-0.034325,2096.0,268.0,0.17032459399557384,True,REGULAR,USD,25.805,0.04999,GLD,2026-06-19,CALL
GLD260619C00290000,2026-05-29 20:00:00+00:00,290.0,20.55,20.43,21.47,0.37693,1.868481,94.0,903.0,0.16893325457862432,True,REGULAR,USD,20.95,0.049642,GLD,2026-06-19,CALL
GLD260619C00295000,2026-05-29 20:00:00+00:00,295.0,16.25,15.89,16.71,-0.764657,-4.494108,493.0,651.0,0.1675656999098803,True,REGULAR,USD,16.3,0.050307,GLD,2026-06-19,CALL
GLD260619C00300000,2026-05-29 20:00:00+00:00,300.0,12.0,11.7,12.3,-0.256984,-2.096633,641.0,1522.0,0.1662211304445698,True,REGULAR,USD,12.0,0.05,GLD,2026-06-19,CALL
