contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
GOOGL260605C00165000,2026-05-29 20:00:00+00:00,165.0,10.5,10.09,10.61,0.617663,6.250171,137.0,752.0,0.28678451429598817,True,REGULAR,USD,10.35,0.050242,GOOGL,2026-06-05,CALL
GOOGL260605C00167500,2026-05-29 20:00:00+00:00,167.5,8.05,7.9,8.3,0.127045,1.603505,295.0,740.0,0.2855814841068249,True,REGULAR,USD,8.1,0.049383,GOOGL,2026-06-05,CALL
GOOGL260605C00170000,2026-05-29 20:00:00+00:00,170.0,6.0,5.9,6.2,0.259117,4.513539,13.0,479.0,0.2843962772440137,True,REGULAR,USD,6.05,0.049587,GOOGL,2026-06-05,CALL
GOOGL260605C00172500,2026-05-29 20:00:00+00:00,172.5,4.2,4.14,4.36,-0.196545,-4.470442,890.0,724.0,0.2832283732903214,True,REGULAR,USD,4.25,0.051765,GOOGL,2026-06-05,CALL
GOOGL260605C00175000,2026-05-29 20:00:00+00:00,175.0,2.8000000000000003,2.73,2.87,-0.134062,-4.56916,84.0,527.0,0.28207727429415347,False,REGULAR,USD,2.8,0.05,GOOGL,2026-06-05,CALL
GOOGL260605C00177500,2026-05-29 20:00:00+00:00,177.5,1.6500000000000001,1.65,1.75,0.00098,0.059429,298.0,432.0,0.28094250349479694,False,REGULAR,USD,1.7,0.058824,GOOGL,2026-06-05,CALL
GOOGL260605C00180000,2026-05-29 20:00:00+00:00,180.0,0.9500000000000001,0.9,1.0,0.053787,6.001587,1034.0,6054.0,0.2798236041368178,False,REGULAR,USD,0.95,0.105263,GOOGL,2026-06-05,CALL
GOOGL260605C00182500,2026-05-29 20:00:00+00:00,182.5,0.5,0.45,0.55,0.002134,0.428629,45.0,768.0,0.2787201383662309,False,REGULAR,USD,0.5,0.2,GOOGL,2026-06-05,CALL
GOOGL260605C00185000,2026-05-29 20:00:00+00:00,185.0,0.24,0.23,0.25,-0.004137,-1.69454,536.0,364.0,0.2776316862017686,False,REGULAR,USD,0.24,0.083333,GOOGL,2026-06-05,CALL
GOOGL260605C00187500,2026-05-29 20:00:00+00:00,187.5,0.1,0.09,0.11,-0.003061,-2.970086,928.0,1536.0,0.27655784457519733,False,REGULAR,USD,0.1,0.2,GOOGL,2026-06-05,CALL
GOOGL260605C00190000,2026-05-29 20:00:00+00:00,190.0,0.04,0.03,0.05,0.001102,2.833051,129.0,4708.0,0.2754982264351957,False,REGULAR,USD,0.04,0.5,GOOGL,2026-06-05,CALL
GOOGL260605C00192500,2026-05-29 20:00:00+00:00,192.5,0.01,0.01,0.02,0.000157,1.595042,4736.0,1741.0,0.2744524599098075,False,REGULAR,USD,0.015,0.666667,GOOGL,2026-06-05,CALL
GOOGL260612C00165000,2026-05-29 20:00:00+00:00,165.0,11.100000000000001,10.68,11.22,0.085232,0.773798,509.0,264.0,0.2876449494813955,True,REGULAR,USD,10.95,0.049315,GOOGL,2026-06-12,CALL
GOOGL260612C00167500,2026-05-29 20:00:00+00:00,167.5,8.950000000000001,8.68,9.12,0.324965,3.767695,101.0,586.0,0.2864419192922322,True,REGULAR,USD,8.9,0.049438,GOOGL,2026-06-12,CALL
GOOGL260612C00170000,2026-05-29 20:00:00+00:00,170.0,7.050000000000001,6.87,7.23,-0.318713,-4.325219,7.0,411.0,0.285256712429421,True,REGULAR,USD,7.05,0.051064,GOOGL,2026-06-12,CALL
GOOGL260612C00172500,2026-05-29 20:00:00+00:00,172.5,5.45,5.27,5.54,0.270153,5.215463,6479.0,9471.0,0.28408880847572876,True,REGULAR,USD,5.405,0.049954,GOOGL,2026-06-12,CALL
GOOGL260612C00175000,2026-05-29 20:00:00+00:00,175.0,4.05,3.9,4.1,0.072635,1.826209,171.0,284.0,0.2829377094795608,False,REGULAR,USD,4.0,0.05,GOOGL,2026-06-12,CALL
GOOGL260612C00177500,2026-05-29 20:00:00+00:00,177.5,2.9000000000000004,2.83,2.97,0.065044,2.294357,546.0,40781.0,0.2818029386802043,False,REGULAR,USD,2.9,0.048276,GOOGL,2026-06-12,CALL
GOOGL260612C00180000,2026-05-29 20:00:00+00:00,180.0,1.9500000000000002,1.95,2.05,-0.028309,-1.43097,268.0,27356.0,0.28068403932222513,False,REGULAR,USD,2.0,0.05,GOOGL,2026-06-12,CALL
GOOGL260612C00182500,2026-05-29 20:00:00+00:00,182.5,1.3,1.25,1.35,-0.010028,-0.76548,498.0,848.0,0.27958057355163823,False,REGULAR,USD,1.3,0.076923,GOOGL,2026-06-12,CALL
GOOGL260612C00185000,2026-05-29 20:00:00+00:00,185.0,0.8500000000000001,0.8,0.9,0.03317,4.06082,461.0,389.0,0.27849212138717594,False,REGULAR,USD,0.85,0.117647,GOOGL,2026-06-12,CALL
GOOGL260612C00187500,2026-05-29 20:00:00+00:00,187.5,0.5,0.45,0.55,-0.018489,-3.565939,7.0,125.0,0.2774182797606047,False,REGULAR,USD,0.5,0.2,GOOGL,2026-06-12,CALL
GOOGL260612C00190000,2026-05-29 20:00:00+00:00,190.0,0.3,0.29,0.31,0.016715,5.900418,574.0,325.0,0.2763586616206031,False,REGULAR,USD,0.3,0.066667,GOOGL,2026-06-12,CALL
GOOGL260612C00192500,2026-05-29 20:00:00+00:00,192.5,0.17,0.16,0.18,-0.009105,-5.08361,236.0,6357.0,0.27531289509521484,False,REGULAR,USD,0.17,0.117647,GOOGL,2026-06-12,CALL
GOOGL260612C00195000,2026-05-29 20:00:00+00:00,195.0,0.09,0.08,0.1,0.00162,1.832994,922.0,373.0,0.2742806227083422,False,REGULAR,USD,0.09,0.222222,GOOGL,2026-06-12,CALL
GOOGL260619C00157500,2026-05-29 20:00:00+00:00,157.5,18.55,17.75,18.65,-0.736819,-3.820324,81.0,4531.0,0.29202678587135666,True,REGULAR,USD,18.2,0.049451,GOOGL,2026-06-19,CALL
GOOGL260619C00160000,2026-05-29 20:00:00+00:00,160.0,15.850000000000001,15.5,16.3,0.400292,2.590936,379.0,4214.0,0.2907669173139055,True,REGULAR,USD,15.9,0.050314,GOOGL,2026-06-19,CALL
GOOGL260619C00162500,2026-05-29 20:00:00+00:00,162.5,13.5,13.36,14.04,0.423998,3.242566,30.0,13752.0,0.2895265823910283,True,REGULAR,USD,13.7,0.049635,GOOGL,2026-06-19,CALL
GOOGL260619C00165000,2026-05-29 20:00:00+00:00,165.0,11.600000000000001,11.36,11.94,0.003109,0.026809,511.0,3772.0,0.28830518462056526,True,REGULAR,USD,11.65,0.049785,GOOGL,2026-06-19,CALL
GOOGL260619C00167500,2026-05-29 20:00:00+00:00,167.5,9.55,9.46,9.94,0.124872,1.324884,49.0,5173.0,0.28710215443140197,True,REGULAR,USD,9.7,0.049485,GOOGL,2026-06-19,CALL
GOOGL260619C00170000,2026-05-29 20:00:00+00:00,170.0,7.8500000000000005,7.7,8.1,-0.025928,-0.329206,40.0,2492.0,0.28591694756859076,True,REGULAR,USD,7.9,0.050633,GOOGL,2026-06-19,CALL
GOOGL260619C00172500,2026-05-29 20:00:00+00:00,172.5,6.45,6.19,6.51,-0.072458,-1.1109,271.0,2761.0,0.2847490436148985,True,REGULAR,USD,6.35,0.050394,GOOGL,2026-06-19,CALL
GOOGL260619C00175000,2026-05-29 20:00:00+00:00,175.0,5.0,4.83,5.07,-0.052533,-1.039736,25.0,4847.0,0.28359794461873056,False,REGULAR,USD,4.95,0.048485,GOOGL,2026-06-19,CALL
GOOGL260619C00177500,2026-05-29 20:00:00+00:00,177.5,3.8000000000000003,3.71,3.9,-0.009922,-0.260425,1.0,5195.0,0.282463173819374,False,REGULAR,USD,3.805,0.049934,GOOGL,2026-06-19,CALL
GOOGL260619C00180000,2026-05-29 20:00:00+00:00,180.0,2.85,2.78,2.92,-0.142842,-4.772788,249.0,608.0,0.28134427446139487,False,REGULAR,USD,2.85,0.049123,GOOGL,2026-06-19,CALL
GOOGL260619C00182500,2026-05-29 20:00:00+00:00,182.5,2.0500000000000003,2.0,2.1,0.034122,1.692662,294.0,470.0,0.280240808690808,False,REGULAR,USD,2.05,0.04878,GOOGL,2026-06-19,CALL
