contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
IBIT260601C00041500,2026-05-29 20:13:05+00:00,41.5,0.5,0.49,0.53,-0.060000002,-10.714286,1943.0,575,0.30762411132812495,True,REGULAR,USD,0.51,0.07843137254901968,IBIT,2026-06-01,CALL
IBIT260601C00042000,2026-05-29 20:14:51+00:00,42.0,0.29,0.28,0.31,-0.08000001,-21.621626,10237.0,1489,0.31250687499999996,False,REGULAR,USD,0.29500000000000004,0.10169491525423717,IBIT,2026-06-01,CALL
IBIT260603C00041000,2026-05-29 19:30:20+00:00,41.0,0.91,0.98,1.07,-0.109999955,-10.784309,1775.0,805,0.36914693359375,True,REGULAR,USD,1.025,0.08780487804878058,IBIT,2026-06-03,CALL
IBIT260603C00042000,2026-05-29 20:00:27+00:00,42.0,0.46,0.46,0.5,-0.08000001,-14.814816,5840.0,835,0.34278000976562495,False,REGULAR,USD,0.48,0.0833333333333333,IBIT,2026-06-03,CALL
IBIT260603C00042500,2026-05-29 20:06:22+00:00,42.5,0.31,0.29,0.33,-0.050000012,-13.888891,2105.0,618,0.34570966796874997,False,REGULAR,USD,0.31,0.12903225806451624,IBIT,2026-06-03,CALL
IBIT260603C00044000,2026-05-29 18:14:38+00:00,44.0,0.11,0.07,0.08,0.009999998,9.999998,212.0,985,0.35938140625,False,REGULAR,USD,0.07500000000000001,0.13333333333333325,IBIT,2026-06-03,CALL
IBIT260605C00041000,2026-05-29 20:10:55+00:00,41.0,1.19,1.15,1.21,0.0,0.0,2318.0,821,0.375982802734375,True,REGULAR,USD,1.18,0.05084745762711869,IBIT,2026-06-05,CALL
IBIT260605C00041500,2026-05-29 19:54:45+00:00,41.5,0.86,0.86,0.9,-0.01999998,-2.272725,2112.0,1877,0.3632876171875,True,REGULAR,USD,0.88,0.0454545454545455,IBIT,2026-06-05,CALL
IBIT260605C00042000,2026-05-29 19:59:40+00:00,42.0,0.61,0.61,0.65,-0.03999996,-6.1538405,7354.0,604,0.35547519531249994,False,REGULAR,USD,0.63,0.06349206349206354,IBIT,2026-06-05,CALL
IBIT260605C00042500,2026-05-29 20:08:13+00:00,42.5,0.42,0.42,0.45,-0.04000002,-8.695657,6730.0,7088,0.34961587890624996,False,REGULAR,USD,0.435,0.06896551724137938,IBIT,2026-06-05,CALL
IBIT260605C00043000,2026-05-29 20:05:05+00:00,43.0,0.28,0.28,0.32,-0.050000012,-15.151519,21649.0,6538,0.35547519531249994,False,REGULAR,USD,0.30000000000000004,0.13333333333333325,IBIT,2026-06-05,CALL
IBIT260612C00042500,2026-05-29 19:33:55+00:00,42.5,0.75,0.75,0.79,-0.01999998,-2.5974002,758.0,1369,0.35742830078125,False,REGULAR,USD,0.77,0.05194805194805199,IBIT,2026-06-12,CALL
IBIT260612C00043000,2026-05-29 20:04:14+00:00,43.0,0.59,0.58,0.61,-0.02000004,-3.278695,1332.0,891,0.35352208984374994,False,REGULAR,USD,0.595,0.05042016806722694,IBIT,2026-06-12,CALL
IBIT260612C00043500,2026-05-29 20:06:54+00:00,43.5,0.44,0.44,0.48,-0.030000001,-6.382979,263.0,1338,0.35742830078125,False,REGULAR,USD,0.45999999999999996,0.0869565217391304,IBIT,2026-06-12,CALL
IBIT260612C00044000,2026-05-29 19:53:07+00:00,44.0,0.35,0.33,0.37,-0.01000002,-2.7777834,1270.0,1827,0.35938140625,False,REGULAR,USD,0.35,0.11428571428571424,IBIT,2026-06-12,CALL
IBIT260612C00044500,2026-05-29 18:08:01+00:00,44.5,0.31,0.25,0.27,0.03999999,14.814811,263.0,1114,0.35547519531249994,False,REGULAR,USD,0.26,0.07692307692307698,IBIT,2026-06-12,CALL
IBIT260612C00045000,2026-05-29 20:04:52+00:00,45.0,0.2,0.2,0.22,-0.00999999,-4.7619004,4289.0,6278,0.366217275390625,False,REGULAR,USD,0.21000000000000002,0.09523809523809518,IBIT,2026-06-12,CALL
IBIT260618C00040000,2026-05-29 19:42:31+00:00,40.0,2.48,2.38,2.51,0.029999971,1.2244886,214.0,26212,0.4096738720703125,True,REGULAR,USD,2.445,0.0531697341513292,IBIT,2026-06-18,CALL
IBIT260618C00041000,2026-05-29 18:59:05+00:00,41.0,1.68,1.73,1.8,-0.100000024,-5.6179786,654.0,4631,0.3794007373046875,True,REGULAR,USD,1.7650000000000001,0.03966005665722383,IBIT,2026-06-18,CALL
IBIT260618C00042000,2026-05-29 20:14:57+00:00,42.0,1.27,1.23,1.27,0.029999971,2.4193525,2948.0,7267,0.3706117626953125,False,REGULAR,USD,1.25,0.03200000000000003,IBIT,2026-06-18,CALL
IBIT260618C00042500,2026-05-29 19:21:53+00:00,42.5,0.95,1.0,1.05,-0.07999998,-7.7669888,671.0,1102,0.3676821044921875,False,REGULAR,USD,1.025,0.0487804878048781,IBIT,2026-06-18,CALL
IBIT260618C00043000,2026-05-29 19:58:22+00:00,43.0,0.8,0.81,0.85,-0.050000012,-5.8823543,2311.0,21543,0.362311064453125,False,REGULAR,USD,0.8300000000000001,0.048192771084337255,IBIT,2026-06-18,CALL
IBIT260618C00043500,2026-05-29 20:08:17+00:00,43.5,0.67,0.66,0.69,-0.00999999,-1.4705869,3472.0,4045,0.36133451171875,False,REGULAR,USD,0.675,0.044444444444444314,IBIT,2026-06-18,CALL
IBIT260618C00044000,2026-05-29 19:57:04+00:00,44.0,0.52,0.53,0.57,-0.050000012,-8.771933,1884.0,20490,0.36524072265625,False,REGULAR,USD,0.55,0.07272727272727258,IBIT,2026-06-18,CALL
IBIT260618C00044500,2026-05-29 20:07:31+00:00,44.5,0.43,0.43,0.46,-0.01999998,-4.4444404,3170.0,2547,0.3657289990234375,False,REGULAR,USD,0.445,0.0674157303370787,IBIT,2026-06-18,CALL
IBIT260618C00045000,2026-05-29 20:10:29+00:00,45.0,0.37,0.35,0.38,0.0,0.0,9102.0,46415,0.3711000390625,False,REGULAR,USD,0.365,0.08219178082191789,IBIT,2026-06-18,CALL
IBIT260618C00045500,2026-05-29 19:57:04+00:00,45.5,0.29,0.29,0.32,-0.01000002,-3.33334,1608.0,1311,0.3789124609375,False,REGULAR,USD,0.305,0.09836065573770501,IBIT,2026-06-18,CALL
