contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
IBIT260601P00041500,2026-05-29 20:13:05+00:00,41.5,0.3698,0.3498,0.3898,0.0,0.0,1943.0,575,0.3076241113281249,False,REGULAR,USD,0.3698,0.108167,IBIT,2026-06-01,PUT
IBIT260601P00042000,2026-05-29 20:14:51+00:00,42.0,0.6546,0.6396,0.6696,0.0,0.0,10237.0,1489,0.3125068749999999,True,REGULAR,USD,0.6546,0.04583,IBIT,2026-06-01,PUT
IBIT260603P00041000,2026-05-29 19:30:20+00:00,41.0,0.3748,0.3298,0.4198,0.0,0.0,1775.0,805,0.36914693359375,False,REGULAR,USD,0.3748,0.240128,IBIT,2026-06-03,PUT
IBIT260603P00042000,2026-05-29 20:00:27+00:00,42.0,0.8293,0.8093,0.8493,0.0,0.0,5840.0,835,0.3427800097656249,True,REGULAR,USD,0.8293,0.048233,IBIT,2026-06-03,PUT
IBIT260603P00042500,2026-05-29 20:06:22+00:00,42.5,1.159,1.139,1.179,0.0,0.0,2105.0,618,0.3457096679687499,True,REGULAR,USD,1.159,0.034513,IBIT,2026-06-03,PUT
IBIT260603P00044000,2026-05-29 18:14:38+00:00,44.0,2.4233,2.4133,2.4333,0.0,0.0,212.0,985,0.35938140625,True,REGULAR,USD,2.4233,0.008253,IBIT,2026-06-03,PUT
IBIT260605P00041000,2026-05-29 20:10:55+00:00,41.0,0.5197,0.4897,0.5497,0.0,0.0,2318.0,821,0.375982802734375,False,REGULAR,USD,0.5197,0.115451,IBIT,2026-06-05,PUT
IBIT260605P00041500,2026-05-29 19:54:45+00:00,41.5,0.7193,0.6993,0.7393,0.0,0.0,2112.0,1877,0.3632876171875,False,REGULAR,USD,0.7193,0.05561,IBIT,2026-06-05,PUT
IBIT260605P00042000,2026-05-29 19:59:40+00:00,42.0,0.9689,0.9489,0.9889,0.0,0.0,7354.0,604,0.3554751953124999,True,REGULAR,USD,0.9689,0.041284,IBIT,2026-06-05,PUT
IBIT260605P00042500,2026-05-29 20:08:13+00:00,42.5,1.2736,1.2586,1.2886,0.0,0.0,6730.0,7088,0.3496158789062499,True,REGULAR,USD,1.2736,0.023555,IBIT,2026-06-05,PUT
IBIT260605P00043000,2026-05-29 20:05:05+00:00,43.0,1.6382,1.6182,1.6582,0.0,0.0,21649.0,6538,0.3554751953124999,True,REGULAR,USD,1.6382,0.024417,IBIT,2026-06-05,PUT
IBIT260612P00042500,2026-05-29 19:33:55+00:00,42.5,1.5719,1.5519,1.5919,0.0,0.0,758.0,1369,0.35742830078125,True,REGULAR,USD,1.5719,0.025447,IBIT,2026-06-12,PUT
IBIT260612P00043000,2026-05-29 20:04:14+00:00,43.0,1.8961,1.8811,1.9111,0.0,0.0,1332.0,891,0.3535220898437499,True,REGULAR,USD,1.8961,0.015822,IBIT,2026-06-12,PUT
IBIT260612P00043500,2026-05-29 20:06:54+00:00,43.5,2.2603,2.2403,2.2803,0.0,0.0,263.0,1338,0.35742830078125,True,REGULAR,USD,2.2603,0.017697,IBIT,2026-06-12,PUT
