contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
IVV260605C00515000,2026-05-29 20:00:00+00:00,515.0,25.0,24.86,26.14,-0.818358,-3.169675,138.0,2536.0,0.15586945340572014,True,REGULAR,USD,25.5,0.050196,IVV,2026-06-05,CALL
IVV260605C00525000,2026-05-29 20:00:00+00:00,525.0,16.0,15.5,16.3,-0.054744,-0.340983,370.0,1884.0,0.15433094445148915,True,REGULAR,USD,15.9,0.050314,IVV,2026-06-05,CALL
IVV260605C00530000,2026-05-29 20:00:00+00:00,530.0,11.600000000000001,11.26,11.84,-0.506683,-4.185151,303.0,2140.0,0.15357264493512562,True,REGULAR,USD,11.55,0.050216,IVV,2026-06-05,CALL
IVV260605C00535000,2026-05-29 20:00:00+00:00,535.0,7.800000000000001,7.61,8.0,0.344373,4.618968,7.0,6481.0,0.15282146570713853,True,REGULAR,USD,7.805,0.049968,IVV,2026-06-05,CALL
IVV260605C00540000,2026-05-29 20:00:00+00:00,540.0,4.8500000000000005,4.63,4.87,-0.235743,-4.63537,41.0,439.0,0.15207727429415344,False,REGULAR,USD,4.75,0.050526,IVV,2026-06-05,CALL
IVV260605C00545000,2026-05-29 20:00:00+00:00,545.0,2.6500000000000004,2.54,2.67,0.046171,1.773196,51.0,60.0,0.1513399418857595,False,REGULAR,USD,2.605,0.049904,IVV,2026-06-05,CALL
IVV260605C00550000,2026-05-29 20:00:00+00:00,550.0,1.3,1.25,1.35,-0.039297,-2.934151,156.0,62.0,0.15060934320069772,False,REGULAR,USD,1.3,0.076923,IVV,2026-06-05,CALL
IVV260605C00555000,2026-05-29 20:00:00+00:00,555.0,0.55,0.5,0.6,0.017459,3.278433,470.0,1207.0,0.1498853563591043,False,REGULAR,USD,0.55,0.181818,IVV,2026-06-05,CALL
IVV260605C00565000,2026-05-29 20:00:00+00:00,565.0,0.06,0.05,0.07,0.003464,6.127069,963.0,300.0,0.14845674696710376,False,REGULAR,USD,0.06,0.333333,IVV,2026-06-05,CALL
IVV260612C00515000,2026-05-29 20:00:00+00:00,515.0,26.3,25.59,26.91,1.132614,4.500324,196.0,487.0,0.1567298885911275,True,REGULAR,USD,26.25,0.050286,IVV,2026-06-12,CALL
IVV260612C00525000,2026-05-29 20:00:00+00:00,525.0,17.25,16.87,17.73,-0.38923,-2.206616,314.0,13058.0,0.1551913796368965,True,REGULAR,USD,17.3,0.049711,IVV,2026-06-12,CALL
