contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
LLY260605C00760000,2026-05-29 20:00:00+00:00,760.0,43.25,41.73,43.87,-2.238733,-4.921511,10775.0,1585.0,0.3261807378451575,True,REGULAR,USD,42.8,0.05,LLY,2026-06-05,CALL
LLY260605C00770000,2026-05-29 20:00:00+00:00,770.0,34.050000000000004,33.54,35.26,1.157761,3.519861,65.0,1096.0,0.32513497131976926,True,REGULAR,USD,34.4,0.05,LLY,2026-06-05,CALL
LLY260605C00780000,2026-05-29 20:00:00+00:00,780.0,26.450000000000003,26.13,27.47,1.329595,5.292888,29.0,983.0,0.3241026989328966,True,REGULAR,USD,26.8,0.05,LLY,2026-06-05,CALL
LLY260605C00790000,2026-05-29 20:00:00+00:00,790.0,19.900000000000002,19.65,20.65,-0.826238,-3.986435,5904.0,135.0,0.32308357687070227,True,REGULAR,USD,20.15,0.049628,LLY,2026-06-05,CALL
LLY260605C00800000,2026-05-29 20:00:00+00:00,800.0,14.850000000000001,14.24,14.97,-0.84494,-5.383519,11.0,462.0,0.32207727429415345,False,REGULAR,USD,14.605,0.049983,LLY,2026-06-05,CALL
LLY260605C00810000,2026-05-29 20:00:00+00:00,810.0,10.100000000000001,9.85,10.35,-0.154213,-1.503899,259.0,150.0,0.3210834726942689,False,REGULAR,USD,10.1,0.049505,LLY,2026-06-05,CALL
LLY260605C00820000,2026-05-29 20:00:00+00:00,820.0,6.7,6.53,6.87,0.216279,3.335723,286.0,10595.0,0.32010186528692375,False,REGULAR,USD,6.7,0.050746,LLY,2026-06-05,CALL
LLY260605C00830000,2026-05-29 20:00:00+00:00,830.0,4.2,4.09,4.31,-0.036978,-0.872745,1410.0,10446.0,0.3191321564443361,False,REGULAR,USD,4.2,0.052381,LLY,2026-06-05,CALL
LLY260605C00840000,2026-05-29 20:00:00+00:00,840.0,2.6,2.49,2.61,-0.0474,-1.790436,320.0,626.0,0.3181740611605989,False,REGULAR,USD,2.55,0.047059,LLY,2026-06-05,CALL
LLY260605C00850000,2026-05-29 20:00:00+00:00,850.0,1.4000000000000001,1.4,1.5,0.033235,2.431654,36.0,283.0,0.3172273045488387,False,REGULAR,USD,1.45,0.068966,LLY,2026-06-05,CALL
LLY260605C00860000,2026-05-29 20:00:00+00:00,860.0,0.8,0.75,0.85,-0.046493,-5.492426,780.0,464.0,0.3162916213677834,False,REGULAR,USD,0.8,0.125,LLY,2026-06-05,CALL
LLY260605C00870000,2026-05-29 20:00:00+00:00,870.0,0.4,0.39,0.41,0.001536,0.38548,156.0,365.0,0.31536675557569727,False,REGULAR,USD,0.4,0.05,LLY,2026-06-05,CALL
LLY260605C00880000,2026-05-29 20:00:00+00:00,880.0,0.19,0.18,0.2,0.009642,5.346034,42.0,3347.0,0.31445245990980747,False,REGULAR,USD,0.19,0.105263,LLY,2026-06-05,CALL
LLY260605C00890000,2026-05-29 20:00:00+00:00,890.0,0.09,0.08,0.1,0.00104,1.169065,230.0,102.0,0.31354849548949276,False,REGULAR,USD,0.09,0.222222,LLY,2026-06-05,CALL
LLY260605C00900000,2026-05-29 20:00:00+00:00,900.0,0.04,0.03,0.05,0.000713,1.81485,342.0,16496.0,0.3126546314416428,False,REGULAR,USD,0.04,0.5,LLY,2026-06-05,CALL
LLY260612C00760000,2026-05-29 20:00:00+00:00,760.0,47.35,45.83,48.17,2.281184,5.061557,59.0,1168.0,0.32704117303056485,True,REGULAR,USD,47.0,0.049787,LLY,2026-06-12,CALL
LLY260612C00770000,2026-05-29 20:00:00+00:00,770.0,39.800000000000004,38.42,40.39,2.113513,5.608145,133.0,3845.0,0.3259954065051766,True,REGULAR,USD,39.405,0.049994,LLY,2026-06-12,CALL
LLY260612C00780000,2026-05-29 20:00:00+00:00,780.0,33.15,31.69,33.31,1.988748,6.382118,156.0,32651.0,0.32496313411830396,True,REGULAR,USD,32.5,0.049846,LLY,2026-06-12,CALL
