contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
META260605C00505000,2026-05-29 20:00:00+00:00,505.0,27.1,26.37,27.73,-1.275902,-4.496428,455.0,9708.0,0.32594276047581805,True,REGULAR,USD,27.05,0.050277,META,2026-06-05,CALL
META260605C00515000,2026-05-29 20:00:00+00:00,515.0,19.0,18.57,19.53,-0.42954,-2.210757,460.0,1504.0,0.32437408276474794,True,REGULAR,USD,19.05,0.050394,META,2026-06-05,CALL
META260605C00520000,2026-05-29 20:00:00+00:00,520.0,15.55,15.11,15.89,0.017431,0.112222,1420.0,439.0,0.323601129891809,True,REGULAR,USD,15.5,0.050323,META,2026-06-05,CALL
META260605C00525000,2026-05-29 20:00:00+00:00,525.0,12.350000000000001,12.09,12.71,0.254814,2.106739,11.0,6140.0,0.322835573810517,True,REGULAR,USD,12.4,0.05,META,2026-06-05,CALL
META260605C00530000,2026-05-29 20:00:00+00:00,530.0,9.5,9.41,9.89,0.422215,4.65108,65.0,4211.0,0.32207727429415345,False,REGULAR,USD,9.65,0.049741,META,2026-06-05,CALL
META260605C00535000,2026-05-29 20:00:00+00:00,535.0,7.4,7.17,7.53,0.28698,4.034573,245.0,7784.0,0.32132609506616633,False,REGULAR,USD,7.35,0.04898,META,2026-06-05,CALL
META260605C00540000,2026-05-29 20:00:00+00:00,540.0,5.5,5.31,5.59,-0.319086,-5.483438,16.0,4367.0,0.32058190365318123,False,REGULAR,USD,5.45,0.051376,META,2026-06-05,CALL
META260605C00545000,2026-05-29 20:00:00+00:00,545.0,4.0,3.85,4.05,-0.184767,-4.415228,174.0,2928.0,0.3198445712447873,False,REGULAR,USD,3.95,0.050633,META,2026-06-05,CALL
META260605C00555000,2026-05-29 20:00:00+00:00,555.0,1.9500000000000002,1.85,1.95,0.115166,6.276644,95.0,248.0,0.3183899857181321,False,REGULAR,USD,1.9,0.052632,META,2026-06-05,CALL
META260605C00565000,2026-05-29 20:00:00+00:00,565.0,0.8,0.75,0.85,0.032527,4.238195,29.0,391.0,0.3169613763261316,False,REGULAR,USD,0.8,0.125,META,2026-06-05,CALL
META260605C00575000,2026-05-29 20:00:00+00:00,575.0,0.32,0.3,0.32,0.007328,2.34367,109.0,2591.0,0.3155578315540588,False,REGULAR,USD,0.31,0.064516,META,2026-06-05,CALL
META260605C00585000,2026-05-29 20:00:00+00:00,585.0,0.1,0.09,0.11,-0.000988,-0.978334,533.0,1318.0,0.31417848703929835,False,REGULAR,USD,0.1,0.2,META,2026-06-05,CALL
META260605C00595000,2026-05-29 20:00:00+00:00,595.0,0.03,0.02,0.04,-0.001109,-3.564885,298.0,574.0,0.31282252237419644,False,REGULAR,USD,0.03,0.666667,META,2026-06-05,CALL
META260612C00505000,2026-05-29 20:00:00+00:00,505.0,30.150000000000002,29.2,30.7,1.074749,3.696439,58.0,7852.0,0.3268031956612254,True,REGULAR,USD,29.95,0.050083,META,2026-06-12,CALL
META260612C00515000,2026-05-29 20:00:00+00:00,515.0,22.85,22.13,23.27,0.171919,0.758084,767.0,5128.0,0.3252345179501553,True,REGULAR,USD,22.7,0.05022,META,2026-06-12,CALL
META260612C00520000,2026-05-29 20:00:00+00:00,520.0,19.35,18.96,19.94,0.392638,2.071164,619.0,90.0,0.32446156507721635,True,REGULAR,USD,19.45,0.050386,META,2026-06-12,CALL
META260612C00525000,2026-05-29 20:00:00+00:00,525.0,16.55,16.09,16.91,0.957177,6.138574,72.0,1173.0,0.3236960089959243,True,REGULAR,USD,16.5,0.049697,META,2026-06-12,CALL
META260612C00530000,2026-05-29 20:00:00+00:00,530.0,13.950000000000001,13.46,14.15,0.052813,0.380027,516.0,104.0,0.3229377094795608,False,REGULAR,USD,13.805,0.049982,META,2026-06-12,CALL
META260612C00535000,2026-05-29 20:00:00+00:00,535.0,11.3,11.16,11.74,0.497796,4.608282,173.0,2941.0,0.3221865302515737,False,REGULAR,USD,11.45,0.050655,META,2026-06-12,CALL
META260612C00540000,2026-05-29 20:00:00+00:00,540.0,9.55,9.12,9.58,0.067218,0.708843,113.0,12397.0,0.3214423388385886,False,REGULAR,USD,9.35,0.049198,META,2026-06-12,CALL
META260612C00545000,2026-05-29 20:00:00+00:00,545.0,7.550000000000001,7.41,7.79,0.067351,0.900096,73.0,1064.0,0.3207050064301947,False,REGULAR,USD,7.6,0.05,META,2026-06-12,CALL
META260612C00555000,2026-05-29 20:00:00+00:00,555.0,4.75,4.63,4.87,0.072252,1.544589,45.0,496.0,0.31925042090353944,False,REGULAR,USD,4.75,0.050526,META,2026-06-12,CALL
META260612C00565000,2026-05-29 20:00:00+00:00,565.0,2.9000000000000004,2.78,2.92,-0.144682,-4.751958,2141.0,6235.0,0.31782181151153893,False,REGULAR,USD,2.85,0.049123,META,2026-06-12,CALL
META260612C00575000,2026-05-29 20:00:00+00:00,575.0,1.6,1.55,1.65,0.090456,5.992273,337.0,90.0,0.31641826673946616,False,REGULAR,USD,1.6,0.0625,META,2026-06-12,CALL
META260612C00585000,2026-05-29 20:00:00+00:00,585.0,0.8500000000000001,0.8,0.9,-0.008448,-0.984102,214.0,274.0,0.3150389222247057,False,REGULAR,USD,0.85,0.117647,META,2026-06-12,CALL
META260612C00595000,2026-05-29 20:00:00+00:00,595.0,0.43,0.42,0.44,0.01878,4.566898,2285.0,3947.0,0.3136829575596038,False,REGULAR,USD,0.43,0.046512,META,2026-06-12,CALL
META260619C00475000,2026-05-29 20:00:00+00:00,475.0,58.7,56.21,59.09,-2.113091,-3.47473,86.0,639.0,0.33236292081965263,True,REGULAR,USD,57.65,0.049957,META,2026-06-19,CALL
META260619C00485000,2026-05-29 20:00:00+00:00,485.0,48.650000000000006,47.53,49.97,-2.208427,-4.342303,20.0,80.0,0.33069619386742527,True,REGULAR,USD,48.75,0.050051,META,2026-06-19,CALL
META260619C00495000,2026-05-29 20:00:00+00:00,495.0,40.7,39.34,41.36,-1.45943,-3.461693,673.0,4940.0,0.3290634841369287,True,REGULAR,USD,40.35,0.050062,META,2026-06-19,CALL
