contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
MSFT260605C00420000,2026-05-29 20:00:00+00:00,420.0,20.450000000000003,20.28,21.32,-0.799634,-3.763048,68.0,2678.0,0.23579887554494489,True,REGULAR,USD,20.8,0.05,MSFT,2026-06-05,CALL
MSFT260605C00430000,2026-05-29 20:00:00+00:00,430.0,12.5,11.94,12.56,0.244392,1.994124,301.0,82.0,0.23391643575212934,True,REGULAR,USD,12.25,0.050612,MSFT,2026-06-05,CALL
MSFT260605C00435000,2026-05-29 20:00:00+00:00,435.0,8.700000000000001,8.48,8.92,0.306753,3.65476,281.0,31675.0,0.23299156996004328,True,REGULAR,USD,8.7,0.050575,MSFT,2026-06-05,CALL
MSFT260605C00440000,2026-05-29 20:00:00+00:00,440.0,5.8500000000000005,5.7,6.0,-0.341541,-5.516252,318.0,9442.0,0.23207727429415345,False,REGULAR,USD,5.85,0.051282,MSFT,2026-06-05,CALL
MSFT260605C00445000,2026-05-29 20:00:00+00:00,445.0,3.6500000000000004,3.56,3.74,-0.02636,-0.717014,354.0,8697.0,0.23117330987383877,False,REGULAR,USD,3.65,0.049315,MSFT,2026-06-05,CALL
MSFT260605C00450000,2026-05-29 20:00:00+00:00,450.0,2.0500000000000003,2.05,2.15,0.004335,0.211912,2243.0,739.0,0.23027944582598878,False,REGULAR,USD,2.1,0.047619,MSFT,2026-06-05,CALL
MSFT260605C00455000,2026-05-29 20:00:00+00:00,455.0,1.1,1.05,1.15,-0.010433,-0.939543,185.0,621.0,0.22939545893106195,False,REGULAR,USD,1.1,0.090909,MSFT,2026-06-05,CALL
MSFT260605C00460000,2026-05-29 20:00:00+00:00,460.0,0.55,0.5,0.6,0.017449,3.276494,245.0,307.0,0.22852113328848675,False,REGULAR,USD,0.55,0.181818,MSFT,2026-06-05,CALL
MSFT260605C00470000,2026-05-29 20:00:00+00:00,470.0,0.1,0.09,0.11,-0.00341,-3.297553,54.0,697.0,0.22680063687080967,False,REGULAR,USD,0.1,0.2,MSFT,2026-06-05,CALL
MSFT260605C00480000,2026-05-29 20:00:00+00:00,480.0,0.01,0.01,0.02,0.000242,2.480016,275.0,712.0,0.22511636413498307,False,REGULAR,USD,0.015,0.666667,MSFT,2026-06-05,CALL
MSFT260612C00420000,2026-05-29 20:00:00+00:00,420.0,22.3,21.69,22.81,-0.018669,-0.083647,259.0,549.0,0.23665931073035223,True,REGULAR,USD,22.25,0.050337,MSFT,2026-06-12,CALL
MSFT260612C00430000,2026-05-29 20:00:00+00:00,430.0,14.600000000000001,14.09,14.81,-0.052239,-0.356526,352.0,382.0,0.23477687093753669,True,REGULAR,USD,14.45,0.049827,MSFT,2026-06-12,CALL
MSFT260612C00435000,2026-05-29 20:00:00+00:00,435.0,11.0,10.92,11.48,-0.607262,-5.231742,304.0,155.0,0.23385200514545063,True,REGULAR,USD,11.2,0.05,MSFT,2026-06-12,CALL
MSFT260612C00440000,2026-05-29 20:00:00+00:00,440.0,8.35,8.19,8.61,-0.412571,-4.708333,2.0,4432.0,0.2329377094795608,False,REGULAR,USD,8.4,0.05,MSFT,2026-06-12,CALL
MSFT260612C00445000,2026-05-29 20:00:00+00:00,445.0,6.0,5.95,6.25,0.238762,4.144283,159.0,186.0,0.23203374505924612,False,REGULAR,USD,6.1,0.04918,MSFT,2026-06-12,CALL
MSFT260612C00450000,2026-05-29 20:00:00+00:00,450.0,4.25,4.14,4.36,0.073502,1.759895,114.0,1563.0,0.23113988101139613,False,REGULAR,USD,4.25,0.051765,MSFT,2026-06-12,CALL
MSFT260612C00455000,2026-05-29 20:00:00+00:00,455.0,2.9000000000000004,2.78,2.92,-0.163684,-5.342718,110.0,699.0,0.2302558941164693,False,REGULAR,USD,2.85,0.049123,MSFT,2026-06-12,CALL
MSFT260612C00460000,2026-05-29 20:00:00+00:00,460.0,1.85,1.8,1.9,-0.100399,-5.147613,15.0,732.0,0.2293815684738941,False,REGULAR,USD,1.85,0.054054,MSFT,2026-06-12,CALL
MSFT260612C00470000,2026-05-29 20:00:00+00:00,470.0,0.7000000000000001,0.65,0.75,0.001621,0.232109,1245.0,11321.0,0.22766107205621702,False,REGULAR,USD,0.7,0.142857,MSFT,2026-06-12,CALL
MSFT260612C00480000,2026-05-29 20:00:00+00:00,480.0,0.21,0.2,0.22,-0.005449,-2.529137,147.0,5611.0,0.22597679932039041,False,REGULAR,USD,0.21,0.095238,MSFT,2026-06-12,CALL
MSFT260612C00490000,2026-05-29 20:00:00+00:00,490.0,0.05,0.04,0.06,0.000157,0.314989,100.0,1357.0,0.22432725634417158,False,REGULAR,USD,0.05,0.4,MSFT,2026-06-12,CALL
MSFT260619C00395000,2026-05-29 20:00:00+00:00,395.0,47.050000000000004,45.14,47.46,0.823171,1.780721,322.0,2781.0,0.24222906157962534,True,REGULAR,USD,46.3,0.050108,MSFT,2026-06-19,CALL
MSFT260619C00405000,2026-05-29 20:00:00+00:00,405.0,37.4,35.88,37.72,-1.282124,-3.314513,875.0,1844.0,0.24022895740319197,True,REGULAR,USD,36.8,0.05,MSFT,2026-06-19,CALL
MSFT260619C00415000,2026-05-29 20:00:00+00:00,415.0,28.400000000000002,27.15,28.55,-0.429385,-1.4894,785.0,548.0,0.23827764115325922,True,REGULAR,USD,27.85,0.050269,MSFT,2026-06-19,CALL
MSFT260619C00425000,2026-05-29 20:00:00+00:00,425.0,20.1,19.35,20.35,-1.116896,-5.264182,290.0,2060.0,0.23637278925776173,True,REGULAR,USD,19.85,0.050378,MSFT,2026-06-19,CALL
MSFT260619C00430000,2026-05-29 20:00:00+00:00,430.0,16.1,15.94,16.76,0.790949,5.166545,64.0,477.0,0.23543710607670643,True,REGULAR,USD,16.35,0.050153,MSFT,2026-06-19,CALL
MSFT260619C00435000,2026-05-29 20:00:00+00:00,435.0,12.9,12.82,13.48,-0.537831,-4.002365,163.0,3551.0,0.23451224028462037,True,REGULAR,USD,13.15,0.05019,MSFT,2026-06-19,CALL
MSFT260619C00440000,2026-05-29 20:00:00+00:00,440.0,10.450000000000001,10.14,10.66,-0.463992,-4.25135,665.0,764.0,0.23359794461873054,False,REGULAR,USD,10.4,0.05,MSFT,2026-06-19,CALL
MSFT260619C00445000,2026-05-29 20:00:00+00:00,445.0,7.95,7.85,8.25,0.011506,0.144939,61.0,600.0,0.23269398019841586,False,REGULAR,USD,8.05,0.049689,MSFT,2026-06-19,CALL
MSFT260619C00450000,2026-05-29 20:00:00+00:00,450.0,6.1000000000000005,5.9,6.2,0.006444,0.105751,578.0,3360.0,0.23180011615056587,False,REGULAR,USD,6.05,0.049587,MSFT,2026-06-19,CALL
MSFT260619C00455000,2026-05-29 20:00:00+00:00,455.0,4.4,4.34,4.56,-0.070158,-1.569475,77.0,970.0,0.23091612925563904,False,REGULAR,USD,4.45,0.049438,MSFT,2026-06-19,CALL
MSFT260619C00465000,2026-05-29 20:00:00+00:00,465.0,2.3000000000000003,2.19,2.31,0.002974,0.129472,359.0,218.0,0.22917693032472658,False,REGULAR,USD,2.25,0.053333,MSFT,2026-06-19,CALL
MSFT260619C00475000,2026-05-29 20:00:00+00:00,475.0,1.0,0.95,1.05,-0.052917,-5.025752,330.0,512.0,0.22747473844894378,False,REGULAR,USD,1.0,0.1,MSFT,2026-06-19,CALL
MSFT260619C00485000,2026-05-29 20:00:00+00:00,485.0,0.4,0.39,0.41,-0.001397,-0.348034,55.0,384.0,0.22580801149671642,False,REGULAR,USD,0.4,0.05,MSFT,2026-06-19,CALL
MSFT260619C00495000,2026-05-29 20:00:00+00:00,495.0,0.14,0.13,0.15,-0.007513,-5.09311,600.0,3447.0,0.22417530176621986,False,REGULAR,USD,0.14,0.142857,MSFT,2026-06-19,CALL
MSFT260619C00505000,2026-05-29 20:00:00+00:00,505.0,0.05,0.04,0.06,-0.001887,-3.636749,32.0,1376.0,0.2225752484296863,False,REGULAR,USD,0.05,0.4,MSFT,2026-06-19,CALL
MSFT260619C00515000,2026-05-29 20:00:00+00:00,515.0,0.01,0.01,0.02,-5e-05,-0.497512,919.0,358.0,0.2210065707186162,False,REGULAR,USD,0.015,0.666667,MSFT,2026-06-19,CALL
MSFT260626C00395000,2026-05-29 20:00:00+00:00,395.0,47.300000000000004,45.78,48.12,1.84391,4.056464,17.0,263.0,0.2427856655492017,True,REGULAR,USD,46.95,0.04984,MSFT,2026-06-26,CALL
MSFT260626C00405000,2026-05-29 20:00:00+00:00,405.0,38.300000000000004,36.76,38.64,-1.782024,-4.445943,253.0,436.0,0.24078556137276833,True,REGULAR,USD,37.7,0.049867,MSFT,2026-06-26,CALL
MSFT260626C00415000,2026-05-29 20:00:00+00:00,415.0,28.950000000000003,28.37,29.83,0.346489,1.211351,135.0,7506.0,0.23883424512283558,True,REGULAR,USD,29.1,0.050172,MSFT,2026-06-26,CALL
MSFT260626C00425000,2026-05-29 20:00:00+00:00,425.0,21.650000000000002,20.87,21.94,-0.738473,-3.298452,1378.0,14.0,0.23692939322733808,True,REGULAR,USD,21.405,0.049988,MSFT,2026-06-26,CALL
MSFT260626C00430000,2026-05-29 20:00:00+00:00,430.0,18.3,17.55,18.45,0.733576,4.176012,275.0,1934.0,0.23599371004628278,True,REGULAR,USD,18.0,0.05,MSFT,2026-06-26,CALL
MSFT260626C00435000,2026-05-29 20:00:00+00:00,435.0,14.700000000000001,14.53,15.27,0.861282,6.223712,147.0,636.0,0.23506884425419672,True,REGULAR,USD,14.9,0.049664,MSFT,2026-06-26,CALL
MSFT260626C00440000,2026-05-29 20:00:00+00:00,440.0,12.25,11.85,12.45,-0.381327,-3.018899,50.0,3353.0,0.2341545485883069,False,REGULAR,USD,12.15,0.049383,MSFT,2026-06-26,CALL
MSFT260626C00445000,2026-05-29 20:00:00+00:00,445.0,9.9,9.51,9.99,0.246258,2.550907,418.0,474.0,0.23325058416799221,False,REGULAR,USD,9.75,0.049231,MSFT,2026-06-26,CALL
MSFT260626C00450000,2026-05-29 20:00:00+00:00,450.0,7.5,7.46,7.84,-0.371651,-4.721386,124.0,4243.0,0.23235672012014222,False,REGULAR,USD,7.65,0.049673,MSFT,2026-06-26,CALL
MSFT260626C00455000,2026-05-29 20:00:00+00:00,455.0,5.95,5.8,6.1,-0.247537,-3.994119,110.0,173.0,0.2314727332252154,False,REGULAR,USD,5.95,0.05042,MSFT,2026-06-26,CALL
MSFT260626C00465000,2026-05-29 20:00:00+00:00,465.0,3.3000000000000003,3.27,3.43,0.127996,4.035178,888.0,782.0,0.22973353429430293,False,REGULAR,USD,3.35,0.047761,MSFT,2026-06-26,CALL
MSFT260626C00475000,2026-05-29 20:00:00+00:00,475.0,1.75,1.7,1.8,-0.002534,-0.144591,88.0,1643.0,0.22803134241852013,False,REGULAR,USD,1.75,0.057143,MSFT,2026-06-26,CALL
MSFT260626C00485000,2026-05-29 20:00:00+00:00,485.0,0.8500000000000001,0.8,0.9,-0.027515,-3.135559,1239.0,940.0,0.22636461546629277,False,REGULAR,USD,0.85,0.117647,MSFT,2026-06-26,CALL
MSFT260626C00495000,2026-05-29 20:00:00+00:00,495.0,0.37,0.37,0.39,-0.018535,-4.770484,255.0,13011.0,0.2247319057357962,False,REGULAR,USD,0.38,0.052632,MSFT,2026-06-26,CALL
MSFT260626C00505000,2026-05-29 20:00:00+00:00,505.0,0.15,0.14,0.16,0.00856,6.052036,17.0,636.0,0.22313185239926264,False,REGULAR,USD,0.15,0.133333,MSFT,2026-06-26,CALL
MSFT260626C00515000,2026-05-29 20:00:00+00:00,515.0,0.06,0.05,0.07,0.002671,4.659073,291.0,295.0,0.22156317468819256,False,REGULAR,USD,0.06,0.333333,MSFT,2026-06-26,CALL
MSFT260626C00525000,2026-05-29 20:00:00+00:00,525.0,0.02,0.01,0.03,-2e-05,-0.0999,300.0,4160.0,0.22002466573396154,False,REGULAR,USD,0.02,1.0,MSFT,2026-06-26,CALL
MSFT260703C00395000,2026-05-29 20:00:00+00:00,395.0,48.35,46.46,48.84,-0.051,-0.10537,1349.0,531.0,0.2432760434905348,True,REGULAR,USD,47.65,0.049948,MSFT,2026-07-03,CALL
MSFT260703C00405000,2026-05-29 20:00:00+00:00,405.0,39.25,37.68,39.62,0.861499,2.244159,265.0,1283.0,0.24127593931410143,True,REGULAR,USD,38.65,0.050194,MSFT,2026-07-03,CALL
MSFT260703C00415000,2026-05-29 20:00:00+00:00,415.0,30.05,29.54,31.06,0.391044,1.318469,1505.0,293.0,0.23932462306416868,True,REGULAR,USD,30.3,0.050165,MSFT,2026-07-03,CALL
MSFT260703C00425000,2026-05-29 20:00:00+00:00,425.0,22.5,22.23,23.37,-0.588962,-2.550838,194.0,3190.0,0.2374197711686712,True,REGULAR,USD,22.8,0.05,MSFT,2026-07-03,CALL
