contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
MU260605C00105000,2026-05-29 20:00:00+00:00,105.0,5.75,5.7,6.0,-0.280965,-4.658707,1.0,4881.0,0.42579887554494483,True,REGULAR,USD,5.85,0.051282,MU,2026-06-05,CALL
MU260605C00107500,2026-05-29 20:00:00+00:00,107.5,4.0,3.95,4.15,-0.227801,-5.388168,85.0,151.0,0.42391643575212934,True,REGULAR,USD,4.05,0.049383,MU,2026-06-05,CALL
MU260605C00110000,2026-05-29 20:00:00+00:00,110.0,2.6,2.54,2.67,0.052108,2.045142,224.0,2862.0,0.4220772742941534,False,REGULAR,USD,2.605,0.049904,MU,2026-06-05,CALL
MU260605C00112500,2026-05-29 20:00:00+00:00,112.5,1.55,1.5,1.6,0.080359,5.467934,1270.0,234.0,0.42027944582598875,False,REGULAR,USD,1.55,0.064516,MU,2026-06-05,CALL
MU260605C00115000,2026-05-29 20:00:00+00:00,115.0,0.8500000000000001,0.8,0.9,0.031217,3.81261,52.0,15848.0,0.4185211332884867,False,REGULAR,USD,0.85,0.117647,MU,2026-06-05,CALL
MU260605C00117500,2026-05-29 20:00:00+00:00,117.5,0.42,0.42,0.44,0.016108,3.988195,6749.0,490.0,0.41680063687080965,False,REGULAR,USD,0.43,0.046512,MU,2026-06-05,CALL
MU260605C00120000,2026-05-29 20:00:00+00:00,120.0,0.19,0.18,0.2,0.002371,1.263664,1669.0,415.0,0.41511636413498304,False,REGULAR,USD,0.19,0.105263,MU,2026-06-05,CALL
MU260605C00122500,2026-05-29 20:00:00+00:00,122.5,0.08,0.07,0.09,0.003608,4.723008,441.0,562.0,0.4134668211587642,False,REGULAR,USD,0.08,0.25,MU,2026-06-05,CALL
MU260612C00105000,2026-05-29 20:00:00+00:00,105.0,6.800000000000001,6.58,6.92,-0.229921,-3.270606,487.0,464.0,0.4266593107303522,True,REGULAR,USD,6.75,0.05037,MU,2026-06-12,CALL
MU260612C00107500,2026-05-29 20:00:00+00:00,107.5,5.2,4.97,5.23,-0.087432,-1.653582,37.0,5149.0,0.4247768709375367,True,REGULAR,USD,5.1,0.05098,MU,2026-06-12,CALL
MU260612C00110000,2026-05-29 20:00:00+00:00,110.0,3.7,3.66,3.84,-0.09315,-2.455743,3055.0,127.0,0.4229377094795608,False,REGULAR,USD,3.75,0.048,MU,2026-06-12,CALL
