contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
NU260605C00013000,2026-05-29 20:00:00+00:00,13.0,0.7000000000000001,0.65,0.75,-0.024997,-3.447876,201.0,20408.0,0.5050965005327812,True,REGULAR,USD,0.7,0.142857,NU,2026-06-05,CALL
NU260605C00013500,2026-05-29 20:00:00+00:00,13.5,0.38,0.37,0.39,0.001827,0.483112,548.0,12507.0,0.5020772742941535,False,REGULAR,USD,0.38,0.052632,NU,2026-06-05,CALL
NU260605C00014000,2026-05-29 20:00:00+00:00,14.0,0.18,0.17,0.19,-0.002399,-1.315248,45.0,891.0,0.49916786276048347,False,REGULAR,USD,0.18,0.111111,NU,2026-06-05,CALL
NU260605C00014500,2026-05-29 20:00:00+00:00,14.5,0.08,0.07,0.09,0.003334,4.348733,3438.0,990.0,0.49636055717558186,False,REGULAR,USD,0.08,0.25,NU,2026-06-05,CALL
NU260605C00015000,2026-05-29 20:00:00+00:00,15.0,0.03,0.02,0.04,-0.000313,-1.03256,76.0,5474.0,0.49364843304152733,False,REGULAR,USD,0.03,0.666667,NU,2026-06-05,CALL
NU260612C00013000,2026-05-29 20:00:00+00:00,13.0,0.8500000000000001,0.8,0.9,-0.029146,-3.315263,120.0,315.0,0.5059569357181886,True,REGULAR,USD,0.85,0.117647,NU,2026-06-12,CALL
NU260612C00013500,2026-05-29 20:00:00+00:00,13.5,0.55,0.5,0.6,-0.027398,-4.745081,307.0,1230.0,0.5029377094795608,False,REGULAR,USD,0.55,0.181818,NU,2026-06-12,CALL
NU260612C00014000,2026-05-29 20:00:00+00:00,14.0,0.32,0.32,0.34,-0.003936,-1.215055,308.0,2182.0,0.5000282979458909,False,REGULAR,USD,0.33,0.060606,NU,2026-06-12,CALL
NU260612C00014500,2026-05-29 20:00:00+00:00,14.5,0.19,0.18,0.2,0.00396,2.128575,237.0,68.0,0.4972209923609892,False,REGULAR,USD,0.19,0.105263,NU,2026-06-12,CALL
NU260612C00015000,2026-05-29 20:00:00+00:00,15.0,0.1,0.09,0.11,0.004148,4.327505,143.0,7182.0,0.4945088682269347,False,REGULAR,USD,0.1,0.2,NU,2026-06-12,CALL
NU260619C00012000,2026-05-29 20:00:00+00:00,12.0,1.6,1.6,1.7,-0.053689,-3.24662,770.0,242.0,0.5130205874712412,True,REGULAR,USD,1.65,0.060606,NU,2026-06-19,CALL
NU260619C00012500,2026-05-29 20:00:00+00:00,12.5,1.3,1.25,1.35,0.031226,2.461116,438.0,759.0,0.5097548279096208,True,REGULAR,USD,1.3,0.076923,NU,2026-06-19,CALL
NU260619C00013000,2026-05-29 20:00:00+00:00,13.0,0.9500000000000001,0.9,1.0,-0.002071,-0.217526,120.0,370.0,0.5066171708573582,True,REGULAR,USD,0.95,0.105263,NU,2026-06-19,CALL
NU260619C00013500,2026-05-29 20:00:00+00:00,13.5,0.65,0.6,0.7,-0.026498,-3.916937,95.0,1390.0,0.5035979446187305,False,REGULAR,USD,0.65,0.153846,NU,2026-06-19,CALL
NU260619C00014000,2026-05-29 20:00:00+00:00,14.0,0.46,0.44,0.46,-0.016494,-3.461534,5955.0,473.0,0.5006885330850606,False,REGULAR,USD,0.45,0.044444,NU,2026-06-19,CALL
NU260619C00014500,2026-05-29 20:00:00+00:00,14.5,0.29,0.28,0.3,-0.00866,-2.899618,31.0,323.0,0.49788122750015895,False,REGULAR,USD,0.29,0.068966,NU,2026-06-19,CALL
NU260619C00015000,2026-05-29 20:00:00+00:00,15.0,0.18,0.17,0.19,0.004212,2.396068,35.0,4360.0,0.4951691033661044,False,REGULAR,USD,0.18,0.111111,NU,2026-06-19,CALL
NU260619C00015500,2026-05-29 20:00:00+00:00,15.5,0.11,0.1,0.12,0.005497,5.260136,132.0,808.0,0.49254591754026517,False,REGULAR,USD,0.11,0.181818,NU,2026-06-19,CALL
NU260619C00016000,2026-05-29 20:00:00+00:00,16.0,0.06,0.05,0.07,-0.000523,-0.864134,199.0,35.0,0.4900060216750987,False,REGULAR,USD,0.06,0.333333,NU,2026-06-19,CALL
NU260619C00016500,2026-05-29 20:00:00+00:00,16.5,0.03,0.02,0.04,-0.000551,-1.803542,1419.0,20395.0,0.48754428898175844,False,REGULAR,USD,0.03,0.666667,NU,2026-06-19,CALL
NU260626C00012000,2026-05-29 20:00:00+00:00,12.0,1.75,1.7,1.8,-0.049032,-2.725466,252.0,5760.0,0.5135771914408176,True,REGULAR,USD,1.75,0.057143,NU,2026-06-26,CALL
NU260626C00012500,2026-05-29 20:00:00+00:00,12.5,1.35,1.3,1.4,-0.036975,-2.665874,128.0,1127.0,0.5103114318791971,True,REGULAR,USD,1.35,0.074074,NU,2026-06-26,CALL
NU260626C00013000,2026-05-29 20:00:00+00:00,13.0,1.05,1.0,1.1,0.049869,4.986247,3118.0,342.0,0.5071737748269346,True,REGULAR,USD,1.05,0.095238,NU,2026-06-26,CALL
NU260626C00013500,2026-05-29 20:00:00+00:00,13.5,0.75,0.7,0.8,-0.004528,-0.60011,291.0,3820.0,0.5041545485883069,False,REGULAR,USD,0.75,0.133333,NU,2026-06-26,CALL
NU260626C00014000,2026-05-29 20:00:00+00:00,14.0,0.55,0.5,0.6,-0.001533,-0.277953,224.0,6821.0,0.5012451370546369,False,REGULAR,USD,0.55,0.181818,NU,2026-06-26,CALL
