contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
NVDA260605C00122500,2026-05-29 20:00:00+00:00,122.5,8.700000000000001,8.34,8.76,0.503077,6.137388,54.0,3982.0,0.5068311479318176,True,REGULAR,USD,8.55,0.049123,NVDA,2026-06-05,CALL
NVDA260605C00125000,2026-05-29 20:00:00+00:00,125.0,6.7,6.53,6.87,0.262732,4.081421,3112.0,236.0,0.505214931346416,True,REGULAR,USD,6.7,0.050746,NVDA,2026-06-05,CALL
NVDA260605C00127500,2026-05-29 20:00:00+00:00,127.5,5.0,4.92,5.18,0.165958,3.43311,137.0,594.0,0.5036307211627217,True,REGULAR,USD,5.05,0.051485,NVDA,2026-06-05,CALL
NVDA260605C00130000,2026-05-29 20:00:00+00:00,130.0,3.7,3.56,3.74,-0.068162,-1.808893,542.0,821.0,0.5020772742941535,False,REGULAR,USD,3.65,0.049315,NVDA,2026-06-05,CALL
NVDA260605C00132500,2026-05-29 20:00:00+00:00,132.5,2.5,2.49,2.61,-0.09499,-3.660515,697.0,269.0,0.5005534186964979,False,REGULAR,USD,2.55,0.047059,NVDA,2026-06-05,CALL
NVDA260605C00135000,2026-05-29 20:00:00+00:00,135.0,1.7000000000000002,1.65,1.75,-0.005459,-0.32009,239.0,104.0,0.49905804805552567,False,REGULAR,USD,1.7,0.058824,NVDA,2026-06-05,CALL
NVDA260605C00137500,2026-05-29 20:00:00+00:00,137.5,1.1,1.05,1.15,0.063053,6.080639,265.0,186.0,0.49759011696206995,False,REGULAR,USD,1.1,0.090909,NVDA,2026-06-05,CALL
NVDA260605C00140000,2026-05-29 20:00:00+00:00,140.0,0.7000000000000001,0.65,0.75,-0.01851,-2.576165,61.0,3666.0,0.4961486365218557,False,REGULAR,USD,0.7,0.142857,NVDA,2026-06-05,CALL
NVDA260605C00142500,2026-05-29 20:00:00+00:00,142.5,0.4,0.39,0.41,-0.005381,-1.327393,188.0,4202.0,0.4947326703539036,False,REGULAR,USD,0.4,0.05,NVDA,2026-06-05,CALL
NVDA260605C00145000,2026-05-29 20:00:00+00:00,145.0,0.23,0.22,0.24,0.002836,1.248437,30.0,2052.0,0.4933413309369541,False,REGULAR,USD,0.23,0.086957,NVDA,2026-06-05,CALL
NVDA260612C00122500,2026-05-29 20:00:00+00:00,122.5,9.55,9.51,9.99,0.284594,3.071576,50.0,107.0,0.507691583117225,True,REGULAR,USD,9.75,0.049231,NVDA,2026-06-12,CALL
NVDA260612C00125000,2026-05-29 20:00:00+00:00,125.0,8.05,7.85,8.25,-0.390076,-4.621712,29.0,1802.0,0.5060753665318234,True,REGULAR,USD,8.05,0.049689,NVDA,2026-06-12,CALL
NVDA260612C00127500,2026-05-29 20:00:00+00:00,127.5,6.6000000000000005,6.39,6.71,-0.325333,-4.697724,4558.0,919.0,0.504491156348129,True,REGULAR,USD,6.55,0.048855,NVDA,2026-06-12,CALL
NVDA260612C00130000,2026-05-29 20:00:00+00:00,130.0,5.25,5.07,5.33,-0.130222,-2.420383,256.0,252.0,0.5029377094795608,False,REGULAR,USD,5.2,0.05,NVDA,2026-06-12,CALL
NVDA260612C00132500,2026-05-29 20:00:00+00:00,132.5,4.15,4.0,4.2,0.213769,5.430804,8281.0,82.0,0.5014138538819053,False,REGULAR,USD,4.1,0.04878,NVDA,2026-06-12,CALL
NVDA260612C00135000,2026-05-29 20:00:00+00:00,135.0,3.1,3.07,3.23,-0.017034,-0.546481,179.0,29.0,0.499918483240933,False,REGULAR,USD,3.15,0.050794,NVDA,2026-06-12,CALL
NVDA260612C00137500,2026-05-29 20:00:00+00:00,137.5,2.3000000000000003,2.29,2.41,0.097786,4.44035,329.0,254.0,0.4984505521474773,False,REGULAR,USD,2.35,0.051064,NVDA,2026-06-12,CALL
NVDA260612C00140000,2026-05-29 20:00:00+00:00,140.0,1.7000000000000002,1.7,1.8,-0.01897,-1.103568,123.0,685.0,0.49700907170726305,False,REGULAR,USD,1.75,0.057143,NVDA,2026-06-12,CALL
NVDA260612C00142500,2026-05-29 20:00:00+00:00,142.5,1.25,1.2,1.3,0.022477,1.831086,207.0,4102.0,0.49559310553931096,False,REGULAR,USD,1.25,0.08,NVDA,2026-06-12,CALL
NVDA260612C00145000,2026-05-29 20:00:00+00:00,145.0,0.9,0.85,0.95,-0.031963,-3.429643,8.0,24.0,0.49420176612236144,False,REGULAR,USD,0.9,0.111111,NVDA,2026-06-12,CALL
NVDA260619C00117500,2026-05-29 20:00:00+00:00,117.5,14.350000000000001,14.14,14.86,0.218158,1.543734,59.0,10536.0,0.51168563396844,True,REGULAR,USD,14.5,0.049655,NVDA,2026-06-19,CALL
NVDA260619C00120000,2026-05-29 20:00:00+00:00,120.0,12.700000000000001,12.29,12.92,-0.048132,-0.377561,82.0,166.0,0.5100013612326134,True,REGULAR,USD,12.605,0.04998,NVDA,2026-06-19,CALL
NVDA260619C00122500,2026-05-29 20:00:00+00:00,122.5,10.600000000000001,10.53,11.07,0.078889,0.749816,667.0,2957.0,0.5083518182563946,True,REGULAR,USD,10.8,0.05,NVDA,2026-06-19,CALL
