contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
REMX260605C00024000,2026-05-29 20:00:00+00:00,24.0,1.2000000000000002,1.15,1.25,0.057175,5.002953,170.0,3754.0,0.4253430338557738,True,REGULAR,USD,1.2,0.083333,REMX,2026-06-05,CALL
REMX260605C00025000,2026-05-29 20:00:00+00:00,25.0,0.6000000000000001,0.55,0.65,0.02435,4.230001,355.0,246.0,0.4220772742941534,False,REGULAR,USD,0.6,0.166667,REMX,2026-06-05,CALL
REMX260605C00026000,2026-05-29 20:00:00+00:00,26.0,0.23,0.22,0.24,0.009355,4.239842,521.0,235.0,0.41893961724189094,False,REGULAR,USD,0.23,0.086957,REMX,2026-06-05,CALL
REMX260605C00027000,2026-05-29 20:00:00+00:00,27.0,0.07,0.06,0.08,0.000472,0.678863,1251.0,2081.0,0.41592039100326317,False,REGULAR,USD,0.07,0.285714,REMX,2026-06-05,CALL
REMX260605C00028000,2026-05-29 20:00:00+00:00,28.0,0.01,0.01,0.02,0.000437,4.569696,13916.0,220.0,0.41301097946959314,False,REGULAR,USD,0.015,0.666667,REMX,2026-06-05,CALL
REMX260612C00024000,2026-05-29 20:00:00+00:00,24.0,1.4500000000000002,1.4,1.5,0.033293,2.350027,232.0,634.0,0.42620346904118117,True,REGULAR,USD,1.45,0.068966,REMX,2026-06-12,CALL
REMX260612C00025000,2026-05-29 20:00:00+00:00,25.0,0.8500000000000001,0.8,0.9,0.032249,3.943621,91.0,154.0,0.4229377094795608,False,REGULAR,USD,0.85,0.117647,REMX,2026-06-12,CALL
REMX260612C00026000,2026-05-29 20:00:00+00:00,26.0,0.45,0.43,0.45,-0.026126,-5.487203,3.0,6970.0,0.4198000524272983,False,REGULAR,USD,0.44,0.045455,REMX,2026-06-12,CALL
REMX260612C00027000,2026-05-29 20:00:00+00:00,27.0,0.2,0.19,0.21,0.010924,5.777571,376.0,633.0,0.4167808261886705,False,REGULAR,USD,0.2,0.1,REMX,2026-06-12,CALL
REMX260612C00028000,2026-05-29 20:00:00+00:00,28.0,0.08,0.07,0.09,-0.004746,-5.600264,134.0,1042.0,0.4138714146550005,False,REGULAR,USD,0.08,0.25,REMX,2026-06-12,CALL
REMX260619C00022000,2026-05-29 20:00:00+00:00,22.0,3.25,3.12,3.28,-0.032527,-0.990913,12.0,11846.0,0.4338246143395213,True,REGULAR,USD,3.2,0.05,REMX,2026-06-19,CALL
REMX260619C00023000,2026-05-29 20:00:00+00:00,23.0,2.35,2.29,2.41,0.133351,6.015883,3746.0,249.0,0.4302684733338546,True,REGULAR,USD,2.35,0.051064,REMX,2026-06-19,CALL
REMX260619C00024000,2026-05-29 20:00:00+00:00,24.0,1.6500000000000001,1.55,1.65,-0.062819,-3.66758,29.0,2047.0,0.4268637041803509,True,REGULAR,USD,1.6,0.0625,REMX,2026-06-19,CALL
REMX260619C00025000,2026-05-29 20:00:00+00:00,25.0,1.05,1.0,1.1,0.011288,1.08673,638.0,118.0,0.4235979446187305,False,REGULAR,USD,1.05,0.095238,REMX,2026-06-19,CALL
REMX260619C00026000,2026-05-29 20:00:00+00:00,26.0,0.6000000000000001,0.55,0.65,-0.015981,-2.594398,292.0,346.0,0.420460287566468,False,REGULAR,USD,0.6,0.166667,REMX,2026-06-19,CALL
REMX260619C00027000,2026-05-29 20:00:00+00:00,27.0,0.35000000000000003,0.33,0.35,-0.020708,-5.586068,198.0,799.0,0.41744106132784026,False,REGULAR,USD,0.34,0.058824,REMX,2026-06-19,CALL
REMX260619C00028000,2026-05-29 20:00:00+00:00,28.0,0.18,0.17,0.19,0.005677,3.256598,861.0,78.0,0.41453164979417023,False,REGULAR,USD,0.18,0.111111,REMX,2026-06-19,CALL
REMX260619C00029000,2026-05-29 20:00:00+00:00,29.0,0.08,0.07,0.09,-0.002515,-3.047931,956.0,23994.0,0.4117243442092687,False,REGULAR,USD,0.08,0.25,REMX,2026-06-19,CALL
REMX260619C00030000,2026-05-29 20:00:00+00:00,30.0,0.04,0.03,0.05,-1e-06,-0.0025,814.0,734.0,0.40901222007521415,False,REGULAR,USD,0.04,0.5,REMX,2026-06-19,CALL
REMX260626C00022000,2026-05-29 20:00:00+00:00,22.0,3.3000000000000003,3.17,3.33,-0.188436,-5.401733,20.0,276.0,0.43438121830909765,True,REGULAR,USD,3.25,0.049231,REMX,2026-06-26,CALL
REMX260626C00023000,2026-05-29 20:00:00+00:00,23.0,2.45,2.39,2.51,0.121781,5.230651,167.0,9936.0,0.43082507730343095,True,REGULAR,USD,2.45,0.04898,REMX,2026-06-26,CALL
REMX260626C00024000,2026-05-29 20:00:00+00:00,24.0,1.8,1.75,1.85,0.07403,4.289182,90.0,1106.0,0.42742030814992726,True,REGULAR,USD,1.8,0.055556,REMX,2026-06-26,CALL
REMX260626C00025000,2026-05-29 20:00:00+00:00,25.0,1.2000000000000002,1.15,1.25,0.028352,2.419839,181.0,2479.0,0.42415454858830687,False,REGULAR,USD,1.2,0.083333,REMX,2026-06-26,CALL
REMX260626C00026000,2026-05-29 20:00:00+00:00,26.0,0.8,0.75,0.85,-0.018428,-2.251634,448.0,2451.0,0.4210168915360444,False,REGULAR,USD,0.8,0.125,REMX,2026-06-26,CALL
REMX260626C00027000,2026-05-29 20:00:00+00:00,27.0,0.48,0.47,0.49,-0.007423,-1.522907,172.0,641.0,0.4179976652974166,False,REGULAR,USD,0.48,0.041667,REMX,2026-06-26,CALL
REMX260626C00028000,2026-05-29 20:00:00+00:00,28.0,0.27,0.26,0.28,-0.003275,-1.198426,35893.0,445.0,0.4150882537637466,False,REGULAR,USD,0.27,0.074074,REMX,2026-06-26,CALL
REMX260626C00029000,2026-05-29 20:00:00+00:00,29.0,0.15,0.14,0.16,0.005381,3.720811,103.0,316.0,0.41228094817884503,False,REGULAR,USD,0.15,0.133333,REMX,2026-06-26,CALL
