contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
SPY260605C00515000,2026-05-29 20:00:00+00:00,515.0,25.3,24.81,26.09,-1.087685,-4.121942,39.0,2078.0,0.14586945340572016,True,REGULAR,USD,25.45,0.050295,SPY,2026-06-05,CALL
SPY260605C00525000,2026-05-29 20:00:00+00:00,525.0,15.65,15.41,16.2,0.808055,5.444401,3984.0,2314.0,0.14433094445148917,True,REGULAR,USD,15.805,0.049984,SPY,2026-06-05,CALL
SPY260605C00530000,2026-05-29 20:00:00+00:00,530.0,11.450000000000001,11.07,11.63,-0.273209,-2.330497,170.0,1165.0,0.14357264493512567,True,REGULAR,USD,11.35,0.049339,SPY,2026-06-05,CALL
SPY260605C00535000,2026-05-29 20:00:00+00:00,535.0,7.6000000000000005,7.31,7.69,-0.396962,-4.96391,1391.0,535.0,0.14282146570713855,True,REGULAR,USD,7.5,0.050667,SPY,2026-06-05,CALL
SPY260605C00540000,2026-05-29 20:00:00+00:00,540.0,4.55,4.34,4.56,0.044473,0.987077,147.0,1300.0,0.14207727429415345,False,REGULAR,USD,4.45,0.049438,SPY,2026-06-05,CALL
SPY260605C00545000,2026-05-29 20:00:00+00:00,545.0,2.35,2.29,2.41,0.046989,2.040329,52.0,561.0,0.14133994188575952,False,REGULAR,USD,2.35,0.051064,SPY,2026-06-05,CALL
SPY260605C00550000,2026-05-29 20:00:00+00:00,550.0,1.05,1.0,1.1,0.029344,2.875014,380.0,33.0,0.14060934320069773,False,REGULAR,USD,1.05,0.095238,SPY,2026-06-05,CALL
SPY260605C00555000,2026-05-29 20:00:00+00:00,555.0,0.42,0.41,0.43,0.01114,2.724649,388.0,1176.0,0.13988535635910432,False,REGULAR,USD,0.42,0.047619,SPY,2026-06-05,CALL
SPY260605C00565000,2026-05-29 20:00:00+00:00,565.0,0.04,0.03,0.05,-0.001114,-2.709539,176.0,1872.0,0.13845674696710378,False,REGULAR,USD,0.04,0.5,SPY,2026-06-05,CALL
SPY260612C00515000,2026-05-29 20:00:00+00:00,515.0,26.1,25.5,26.8,-0.815791,-3.030901,194.0,7573.0,0.1467298885911275,True,REGULAR,USD,26.15,0.049713,SPY,2026-06-12,CALL
SPY260612C00525000,2026-05-29 20:00:00+00:00,525.0,16.75,16.62,17.48,-0.955386,-5.396019,38.0,290.0,0.14519137963689652,True,REGULAR,USD,17.05,0.05044,SPY,2026-06-12,CALL
SPY260612C00530000,2026-05-29 20:00:00+00:00,530.0,13.200000000000001,12.68,13.32,0.688937,5.506622,2660.0,337.0,0.14443308012053302,True,REGULAR,USD,13.0,0.049231,SPY,2026-06-12,CALL
SPY260612C00535000,2026-05-29 20:00:00+00:00,535.0,9.5,9.21,9.69,0.115426,1.229955,817.0,1815.0,0.1436819008925459,True,REGULAR,USD,9.45,0.050794,SPY,2026-06-12,CALL
SPY260612C00540000,2026-05-29 20:00:00+00:00,540.0,6.45,6.34,6.66,0.335998,5.495549,301.0,350.0,0.1429377094795608,False,REGULAR,USD,6.5,0.049231,SPY,2026-06-12,CALL
SPY260612C00545000,2026-05-29 20:00:00+00:00,545.0,4.2,4.09,4.31,0.196921,4.919238,438.0,1170.0,0.14220037707116687,False,REGULAR,USD,4.2,0.052381,SPY,2026-06-12,CALL
SPY260612C00550000,2026-05-29 20:00:00+00:00,550.0,2.5500000000000003,2.49,2.61,-0.078365,-2.981511,182.0,648.0,0.14146977838610508,False,REGULAR,USD,2.55,0.047059,SPY,2026-06-12,CALL
SPY260612C00555000,2026-05-29 20:00:00+00:00,555.0,1.4500000000000002,1.4,1.5,-0.047142,-3.1488,228.0,393.0,0.14074579154451167,False,REGULAR,USD,1.45,0.068966,SPY,2026-06-12,CALL
SPY260612C00565000,2026-05-29 20:00:00+00:00,565.0,0.36,0.34,0.36,-0.002476,-0.68308,142.0,2662.0,0.13931718215251113,False,REGULAR,USD,0.35,0.057143,SPY,2026-06-12,CALL
