contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
TFLO260605C00048000,2026-05-29 20:00:00+00:00,48.0,2.6,2.49,2.61,-0.090567,-3.366093,93.0,2169.0,0.07613906032402731,True,REGULAR,USD,2.55,0.047059,TFLO,2026-06-05,CALL
TFLO260605C00049000,2026-05-29 20:00:00+00:00,49.0,1.55,1.5,1.6,-0.067834,-4.19289,175.0,640.0,0.07448951734780845,True,REGULAR,USD,1.55,0.064516,TFLO,2026-06-05,CALL
TFLO260605C00050000,2026-05-29 20:00:00+00:00,50.0,0.6000000000000001,0.55,0.65,-0.004556,-0.753611,94.0,214.0,0.07287330076240689,True,REGULAR,USD,0.6,0.166667,TFLO,2026-06-05,CALL
TFLO260605C00051000,2026-05-29 20:00:00+00:00,51.0,0.05,0.04,0.06,-0.001274,-2.48469,112.0,173.0,0.07128909057871252,False,REGULAR,USD,0.05,0.4,TFLO,2026-06-05,CALL
TFLO260612C00048000,2026-05-29 20:00:00+00:00,48.0,2.6500000000000004,2.54,2.67,-0.061141,-2.255176,676.0,16360.0,0.07699949550943466,True,REGULAR,USD,2.605,0.049904,TFLO,2026-06-12,CALL
TFLO260612C00049000,2026-05-29 20:00:00+00:00,49.0,1.6,1.55,1.65,-0.038502,-2.349829,244.0,477.0,0.0753499525332158,True,REGULAR,USD,1.6,0.0625,TFLO,2026-06-12,CALL
TFLO260612C00050000,2026-05-29 20:00:00+00:00,50.0,0.65,0.6,0.7,0.025672,4.111941,84.0,2087.0,0.07373373594781424,True,REGULAR,USD,0.65,0.153846,TFLO,2026-06-12,CALL
TFLO260612C00051000,2026-05-29 20:00:00+00:00,51.0,0.13,0.12,0.14,0.002409,1.888064,215.0,2780.0,0.07214952576411987,False,REGULAR,USD,0.13,0.153846,TFLO,2026-06-12,CALL
TFLO260619C00045000,2026-05-29 20:00:00+00:00,45.0,5.7,5.46,5.74,-0.125595,-2.155917,66.0,14846.0,0.0828228123396101,True,REGULAR,USD,5.6,0.05,TFLO,2026-06-19,CALL
TFLO260619C00046000,2026-05-29 20:00:00+00:00,46.0,4.55,4.49,4.72,-0.069777,-1.510398,531.0,2478.0,0.08106449980210809,True,REGULAR,USD,4.605,0.049946,TFLO,2026-06-19,CALL
TFLO260619C00047000,2026-05-29 20:00:00+00:00,47.0,3.5500000000000003,3.51,3.69,0.174165,5.159168,1323.0,8702.0,0.079344003384431,True,REGULAR,USD,3.6,0.05,TFLO,2026-06-19,CALL
TFLO260619C00048000,2026-05-29 20:00:00+00:00,48.0,2.5500000000000003,2.54,2.67,-0.106948,-4.02522,355.0,2591.0,0.07765973064860442,True,REGULAR,USD,2.605,0.049904,TFLO,2026-06-19,CALL
TFLO260619C00049000,2026-05-29 20:00:00+00:00,49.0,1.6,1.6,1.7,-0.064599,-3.880754,492.0,2399.0,0.07601018767238556,True,REGULAR,USD,1.65,0.060606,TFLO,2026-06-19,CALL
TFLO260619C00050000,2026-05-29 20:00:00+00:00,50.0,0.75,0.7,0.8,-0.043262,-5.453684,17.0,1660.0,0.07439397108698399,True,REGULAR,USD,0.75,0.133333,TFLO,2026-06-19,CALL
TFLO260619C00051000,2026-05-29 20:00:00+00:00,51.0,0.2,0.19,0.21,0.011463,6.079974,2306.0,2762.0,0.07280976090328962,False,REGULAR,USD,0.2,0.1,TFLO,2026-06-19,CALL
TFLO260619C00052000,2026-05-29 20:00:00+00:00,52.0,0.02,0.01,0.03,-0.000457,-2.233954,1164.0,108.0,0.07125631403472149,False,REGULAR,USD,0.02,1.0,TFLO,2026-06-19,CALL
TFLO260626C00045000,2026-05-29 20:00:00+00:00,45.0,5.6000000000000005,5.51,5.79,0.183934,3.396081,154.0,30.0,0.08337941630918644,True,REGULAR,USD,5.65,0.049558,TFLO,2026-06-26,CALL
TFLO260626C00046000,2026-05-29 20:00:00+00:00,46.0,4.7,4.53,4.77,0.267445,6.033653,22878.0,4555.0,0.08162110377168443,True,REGULAR,USD,4.65,0.051613,TFLO,2026-06-26,CALL
TFLO260626C00047000,2026-05-29 20:00:00+00:00,47.0,3.6,3.56,3.74,-0.200416,-5.273528,1322.0,563.0,0.07990060735400734,True,REGULAR,USD,3.65,0.049315,TFLO,2026-06-26,CALL
TFLO260626C00048000,2026-05-29 20:00:00+00:00,48.0,2.6500000000000004,2.58,2.72,-0.108993,-3.950463,282.0,450.0,0.07821633461818076,True,REGULAR,USD,2.65,0.05283,TFLO,2026-06-26,CALL
TFLO260626C00049000,2026-05-29 20:00:00+00:00,49.0,1.7000000000000002,1.65,1.75,0.014511,0.860937,85.0,2742.0,0.0765667916419619,True,REGULAR,USD,1.7,0.058824,TFLO,2026-06-26,CALL
TFLO260626C00050000,2026-05-29 20:00:00+00:00,50.0,0.8500000000000001,0.8,0.9,0.0104,1.238685,1486.0,295.0,0.07495057505656033,True,REGULAR,USD,0.85,0.117647,TFLO,2026-06-26,CALL
TFLO260626C00051000,2026-05-29 20:00:00+00:00,51.0,0.27,0.26,0.28,0.001704,0.635119,2075.0,1313.0,0.07336636487286596,False,REGULAR,USD,0.27,0.074074,TFLO,2026-06-26,CALL
TFLO260626C00052000,2026-05-29 20:00:00+00:00,52.0,0.05,0.04,0.06,0.001901,3.952265,582.0,851.0,0.07181291800429783,False,REGULAR,USD,0.05,0.4,TFLO,2026-06-26,CALL
TFLO260703C00045000,2026-05-29 20:00:00+00:00,45.0,5.65,5.56,5.84,-0.156822,-2.700651,191.0,6371.0,0.08386979425051955,True,REGULAR,USD,5.7,0.049123,TFLO,2026-07-03,CALL
