contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
TSLA260605C00245000,2026-05-29 20:00:00+00:00,245.0,18.5,17.7,18.6,-0.622541,-3.255535,32.0,14004.0,0.6068311479318176,True,REGULAR,USD,18.15,0.049587,TSLA,2026-06-05,CALL
TSLA260605C00250000,2026-05-29 20:00:00+00:00,250.0,14.55,14.24,14.97,-0.625439,-4.12139,85.0,32495.0,0.605214931346416,True,REGULAR,USD,14.605,0.049983,TSLA,2026-06-05,CALL
TSLA260605C00255000,2026-05-29 20:00:00+00:00,255.0,11.600000000000001,11.16,11.74,-0.526971,-4.345446,11218.0,3993.0,0.6036307211627217,True,REGULAR,USD,11.45,0.050655,TSLA,2026-06-05,CALL
TSLA260605C00260000,2026-05-29 20:00:00+00:00,260.0,8.65,8.53,8.97,-0.455385,-5.001271,326.0,2796.0,0.6020772742941535,False,REGULAR,USD,8.75,0.050286,TSLA,2026-06-05,CALL
TSLA260605C00265000,2026-05-29 20:00:00+00:00,265.0,6.5,6.34,6.66,-0.258379,-3.823091,699.0,445.0,0.6005534186964979,False,REGULAR,USD,6.5,0.049231,TSLA,2026-06-05,CALL
TSLA260605C00270000,2026-05-29 20:00:00+00:00,270.0,4.7,4.63,4.87,0.030406,0.651149,86.0,996.0,0.5990580480555258,False,REGULAR,USD,4.75,0.050526,TSLA,2026-06-05,CALL
TSLA260605C00275000,2026-05-29 20:00:00+00:00,275.0,3.35,3.27,3.43,0.156383,4.896736,86.0,2208.0,0.59759011696207,False,REGULAR,USD,3.35,0.047761,TSLA,2026-06-05,CALL
TSLA260605C00280000,2026-05-29 20:00:00+00:00,280.0,2.3000000000000003,2.24,2.36,-0.088097,-3.689004,384.0,326.0,0.5961486365218557,False,REGULAR,USD,2.3,0.052174,TSLA,2026-06-05,CALL
TSLA260605C00285000,2026-05-29 20:00:00+00:00,285.0,1.5,1.45,1.55,0.081371,5.73589,70.0,2890.0,0.5947326703539036,False,REGULAR,USD,1.5,0.066667,TSLA,2026-06-05,CALL
TSLA260605C00290000,2026-05-29 20:00:00+00:00,290.0,1.0,0.95,1.05,-0.039678,-3.816374,517.0,568.0,0.5933413309369541,False,REGULAR,USD,1.0,0.1,TSLA,2026-06-05,CALL
TSLA260612C00245000,2026-05-29 20:00:00+00:00,245.0,20.900000000000002,20.72,21.78,0.135777,0.653899,1339.0,388.0,0.6076915831172249,True,REGULAR,USD,21.25,0.049882,TSLA,2026-06-12,CALL
TSLA260612C00250000,2026-05-29 20:00:00+00:00,250.0,17.8,17.55,18.45,0.866021,5.114102,581.0,2640.0,0.6060753665318234,True,REGULAR,USD,18.0,0.05,TSLA,2026-06-12,CALL
TSLA260612C00255000,2026-05-29 20:00:00+00:00,255.0,15.05,14.67,15.43,-0.46833,-3.017915,132.0,85.0,0.604491156348129,True,REGULAR,USD,15.05,0.050498,TSLA,2026-06-12,CALL
TSLA260612C00260000,2026-05-29 20:00:00+00:00,260.0,12.450000000000001,12.14,12.76,-0.014999,-0.120329,85.0,619.0,0.6029377094795608,False,REGULAR,USD,12.45,0.049799,TSLA,2026-06-12,CALL
TSLA260612C00265000,2026-05-29 20:00:00+00:00,265.0,10.4,9.95,10.46,0.298235,2.952306,225.0,385.0,0.6014138538819053,False,REGULAR,USD,10.205,0.049976,TSLA,2026-06-12,CALL
TSLA260612C00270000,2026-05-29 20:00:00+00:00,270.0,8.1,8.0,8.41,-0.435965,-5.10739,112.0,4164.0,0.5999184832409331,False,REGULAR,USD,8.205,0.04997,TSLA,2026-06-12,CALL
TSLA260612C00275000,2026-05-29 20:00:00+00:00,275.0,6.550000000000001,6.39,6.71,0.363037,5.867774,109.0,1141.0,0.5984505521474773,False,REGULAR,USD,6.55,0.048855,TSLA,2026-06-12,CALL
TSLA260612C00280000,2026-05-29 20:00:00+00:00,280.0,5.1000000000000005,5.02,5.28,-0.208001,-3.918632,391.0,2710.0,0.597009071707263,False,REGULAR,USD,5.15,0.050485,TSLA,2026-06-12,CALL
TSLA260612C00285000,2026-05-29 20:00:00+00:00,285.0,4.05,3.9,4.1,-0.183071,-4.32478,443.0,250.0,0.595593105539311,False,REGULAR,USD,4.0,0.05,TSLA,2026-06-12,CALL
TSLA260612C00290000,2026-05-29 20:00:00+00:00,290.0,3.0,2.97,3.13,-0.123782,-3.962568,1461.0,10258.0,0.5942017661223614,False,REGULAR,USD,3.05,0.052459,TSLA,2026-06-12,CALL
TSLA260619C00235000,2026-05-29 20:00:00+00:00,235.0,31.0,29.93,31.47,0.209515,0.680454,184.0,3736.0,0.61168563396844,True,REGULAR,USD,30.7,0.050163,TSLA,2026-06-19,CALL
