contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
TSM260605C00165000,2026-05-29 20:00:00+00:00,165.0,10.350000000000001,10.24,10.76,-0.564256,-5.169899,615.0,315.0,0.32678451429598815,True,REGULAR,USD,10.5,0.049524,TSM,2026-06-05,CALL
TSM260605C00167500,2026-05-29 20:00:00+00:00,167.5,8.35,8.09,8.51,-0.055432,-0.659478,41.0,200.0,0.32558148410682486,True,REGULAR,USD,8.3,0.050602,TSM,2026-06-05,CALL
TSM260605C00170000,2026-05-29 20:00:00+00:00,170.0,6.2,6.14,6.46,-0.089632,-1.425075,445.0,168.0,0.32439627724401365,True,REGULAR,USD,6.3,0.050794,TSM,2026-06-05,CALL
TSM260605C00172500,2026-05-29 20:00:00+00:00,172.5,4.65,4.49,4.72,-0.126732,-2.653111,2399.0,1710.0,0.3232283732903214,True,REGULAR,USD,4.605,0.049946,TSM,2026-06-05,CALL
TSM260605C00175000,2026-05-29 20:00:00+00:00,175.0,3.25,3.12,3.28,-0.10529,-3.13803,49.0,31966.0,0.32207727429415345,False,REGULAR,USD,3.2,0.05,TSM,2026-06-05,CALL
TSM260605C00177500,2026-05-29 20:00:00+00:00,177.5,2.1,2.05,2.15,0.001202,0.057271,1193.0,3301.0,0.3209425034947969,False,REGULAR,USD,2.1,0.047619,TSM,2026-06-05,CALL
TSM260605C00180000,2026-05-29 20:00:00+00:00,180.0,1.3,1.25,1.35,-0.072732,-5.298339,230.0,1007.0,0.31982360413681776,False,REGULAR,USD,1.3,0.076923,TSM,2026-06-05,CALL
TSM260605C00182500,2026-05-29 20:00:00+00:00,182.5,0.75,0.7,0.8,-0.021743,-2.817389,13.0,3385.0,0.31872013836623087,False,REGULAR,USD,0.75,0.133333,TSM,2026-06-05,CALL
TSM260605C00185000,2026-05-29 20:00:00+00:00,185.0,0.42,0.4,0.42,-0.001854,-0.439489,20.0,2230.0,0.31763168620176857,False,REGULAR,USD,0.41,0.04878,TSM,2026-06-05,CALL
TSM260605C00187500,2026-05-29 20:00:00+00:00,187.5,0.21,0.2,0.22,0.002188,1.052875,66.0,1703.0,0.3165578445751973,False,REGULAR,USD,0.21,0.095238,TSM,2026-06-05,CALL
TSM260605C00190000,2026-05-29 20:00:00+00:00,190.0,0.1,0.09,0.11,-0.003196,-3.097019,91.0,15283.0,0.3154982264351957,False,REGULAR,USD,0.1,0.2,TSM,2026-06-05,CALL
TSM260605C00192500,2026-05-29 20:00:00+00:00,192.5,0.04,0.03,0.05,-0.00073,-1.792291,3525.0,879.0,0.31445245990980747,False,REGULAR,USD,0.04,0.5,TSM,2026-06-05,CALL
TSM260605C00195000,2026-05-29 20:00:00+00:00,195.0,0.02,0.01,0.03,0.000721,3.739821,50.0,212.0,0.3134201875229348,False,REGULAR,USD,0.02,1.0,TSM,2026-06-05,CALL
TSM260612C00165000,2026-05-29 20:00:00+00:00,165.0,11.100000000000001,11.02,11.58,0.609992,5.814981,1084.0,601.0,0.3276449494813955,True,REGULAR,USD,11.3,0.049558,TSM,2026-06-12,CALL
TSM260612C00167500,2026-05-29 20:00:00+00:00,167.5,9.15,9.07,9.53,-0.334519,-3.527,417.0,641.0,0.3264419192922322,True,REGULAR,USD,9.3,0.049462,TSM,2026-06-12,CALL
