contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
USFR260605C00048000,2026-05-29 20:00:00+00:00,48.0,2.25,2.19,2.31,-0.074604,-3.209321,9.0,515.0,0.06566239555733686,True,REGULAR,USD,2.25,0.053333,USFR,2026-06-05,CALL
USFR260605C00049000,2026-05-29 20:00:00+00:00,49.0,1.25,1.2,1.3,-0.046604,-3.594313,747.0,242.0,0.064012852581118,True,REGULAR,USD,1.25,0.08,USFR,2026-06-05,CALL
USFR260605C00050000,2026-05-29 20:00:00+00:00,50.0,0.32,0.31,0.33,-0.006903,-2.111636,535.0,8289.0,0.062396635995716446,True,REGULAR,USD,0.32,0.0625,USFR,2026-06-05,CALL
USFR260612C00048000,2026-05-29 20:00:00+00:00,48.0,2.3000000000000003,2.24,2.36,0.076185,3.42587,395.0,183.0,0.0665228307427442,True,REGULAR,USD,2.3,0.052174,USFR,2026-06-12,CALL
USFR260612C00049000,2026-05-29 20:00:00+00:00,49.0,1.3,1.25,1.35,-0.026325,-1.984808,580.0,14674.0,0.06487328776652534,True,REGULAR,USD,1.3,0.076923,USFR,2026-06-12,CALL
USFR260612C00050000,2026-05-29 20:00:00+00:00,50.0,0.42,0.41,0.43,0.01334,3.280382,31.0,3825.0,0.0632570711811238,True,REGULAR,USD,0.42,0.047619,USFR,2026-06-12,CALL
USFR260612C00051000,2026-05-29 20:00:00+00:00,51.0,0.04,0.03,0.05,0.000731,1.861519,160.0,1466.0,0.06167286099742941,False,REGULAR,USD,0.04,0.5,USFR,2026-06-12,CALL
USFR260619C00045000,2026-05-29 20:00:00+00:00,45.0,5.3500000000000005,5.17,5.43,0.078119,1.481805,493.0,8972.0,0.07234614757291964,True,REGULAR,USD,5.3,0.049057,USFR,2026-06-19,CALL
USFR260619C00046000,2026-05-29 20:00:00+00:00,46.0,4.3,4.19,4.41,0.092456,2.197386,452.0,264.0,0.07058783503541763,True,REGULAR,USD,4.3,0.051163,USFR,2026-06-19,CALL
USFR260619C00047000,2026-05-29 20:00:00+00:00,47.0,3.3000000000000003,3.22,3.38,0.032131,0.98324,40.0,13790.0,0.06886733861774054,True,REGULAR,USD,3.3,0.048485,USFR,2026-06-19,CALL
