contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,spread_pct,ativo,expiration,type
VPL260605C00066000,2026-05-29 20:00:00+00:00,66.0,4.0,3.95,4.15,-0.179339,-4.291085,5.0,2664.0,0.16678451429598812,True,REGULAR,USD,4.05,0.049383,VPL,2026-06-05,CALL
VPL260605C00067000,2026-05-29 20:00:00+00:00,67.0,3.1,2.97,3.13,0.026726,0.869626,525.0,262.0,0.16558148410682488,True,REGULAR,USD,3.05,0.052459,VPL,2026-06-05,CALL
VPL260605C00068000,2026-05-29 20:00:00+00:00,68.0,2.2,2.1,2.2,-0.065431,-2.888236,21.0,125.0,0.16439627724401362,True,REGULAR,USD,2.15,0.046512,VPL,2026-06-05,CALL
VPL260605C00069000,2026-05-29 20:00:00+00:00,69.0,1.3,1.25,1.35,0.063086,5.100274,550.0,1109.0,0.16322837329032142,True,REGULAR,USD,1.3,0.076923,VPL,2026-06-05,CALL
VPL260605C00070000,2026-05-29 20:00:00+00:00,70.0,0.65,0.6,0.7,-0.025875,-3.828371,3466.0,2457.0,0.16207727429415345,False,REGULAR,USD,0.65,0.153846,VPL,2026-06-05,CALL
VPL260605C00071000,2026-05-29 20:00:00+00:00,71.0,0.27,0.26,0.28,0.007003,2.662768,49.0,3410.0,0.16094250349479694,False,REGULAR,USD,0.27,0.074074,VPL,2026-06-05,CALL
VPL260605C00072000,2026-05-29 20:00:00+00:00,72.0,0.08,0.07,0.09,-0.004136,-4.915851,2159.0,4267.0,0.15982360413681776,False,REGULAR,USD,0.08,0.25,VPL,2026-06-05,CALL
VPL260605C00073000,2026-05-29 20:00:00+00:00,73.0,0.02,0.01,0.03,0.000274,1.38903,767.0,963.0,0.15872013836623086,False,REGULAR,USD,0.02,1.0,VPL,2026-06-05,CALL
VPL260612C00066000,2026-05-29 20:00:00+00:00,66.0,4.1000000000000005,4.05,4.25,0.169232,4.305316,234.0,1935.0,0.16764494948139547,True,REGULAR,USD,4.15,0.048193,VPL,2026-06-12,CALL
VPL260612C00067000,2026-05-29 20:00:00+00:00,67.0,3.1500000000000004,3.12,3.28,0.13651,4.529964,134.0,151.0,0.16644191929223223,True,REGULAR,USD,3.2,0.05,VPL,2026-06-12,CALL
VPL260612C00068000,2026-05-29 20:00:00+00:00,68.0,2.3000000000000003,2.24,2.36,0.068893,3.087839,942.0,199.0,0.16525671242942097,True,REGULAR,USD,2.3,0.052174,VPL,2026-06-12,CALL
VPL260612C00069000,2026-05-29 20:00:00+00:00,69.0,1.55,1.5,1.6,-0.061543,-3.818887,34.0,1879.0,0.16408880847572876,True,REGULAR,USD,1.55,0.064516,VPL,2026-06-12,CALL
VPL260612C00070000,2026-05-29 20:00:00+00:00,70.0,0.9500000000000001,0.9,1.0,-0.031724,-3.231458,62.0,4296.0,0.1629377094795608,False,REGULAR,USD,0.95,0.105263,VPL,2026-06-12,CALL
VPL260612C00071000,2026-05-29 20:00:00+00:00,71.0,0.5,0.45,0.55,-0.007107,-1.401479,20.0,9395.0,0.1618029386802043,False,REGULAR,USD,0.5,0.2,VPL,2026-06-12,CALL
VPL260612C00072000,2026-05-29 20:00:00+00:00,72.0,0.25,0.24,0.26,0.001622,0.653037,402.0,238.0,0.1606840393222251,False,REGULAR,USD,0.25,0.08,VPL,2026-06-12,CALL
VPL260612C00073000,2026-05-29 20:00:00+00:00,73.0,0.1,0.09,0.11,-0.00137,-1.351485,867.0,354.0,0.1595805735516382,False,REGULAR,USD,0.1,0.2,VPL,2026-06-12,CALL
